#[0]step() [1]time(s) [2]total(J) [3]ele(J) [4]ion(J) [5]total_mean(J) [6]ele_mean(J) [7]ion_mean(J)
1312 1.51633170000965e-13 2.30218010016504e+02 2.27175000816520e+02 3.04300919998389e+00 4.94297150462249e-15 9.75527114944785e-15 1.30671859797121e-16
1320 1.52557762500971e-13 2.34881606541669e+02 2.31659998603888e+02 3.22160793778032e+00 5.04310278771060e-15 9.94786438973922e-15 1.38341185681973e-16
1328 1.53482355000976e-13 2.40105321769303e+02 2.36720899259437e+02 3.38442250986544e+00 5.15526028362765e-15 1.01651878539314e-14 1.45332713323936e-16
1336 1.54406947500982e-13 2.45815051251273e+02 2.42232274213509e+02 3.58277703776476e+00 5.27785290844645e-15 1.04018554313056e-14 1.53850385587273e-16
1344 1.55331540000988e-13 2.51294694007600e+02 2.47510938417357e+02 3.78375559024257e+00 5.39550538054491e-15 1.06285300232737e-14 1.62480737816162e-16
1352 1.56256132500994e-13 2.55767417576943e+02 2.51805751162712e+02 3.96166641423091e+00 5.49153846305542e-15 1.08129564025692e-14 1.70120523541659e-16
1360 1.57180725001000e-13 2.60762851253029e+02 2.56600906656486e+02 4.16194459654295e+00 5.59879456483630e-15 1.10188683289581e-14 1.78720800714544e-16
1368 1.58105317501006e-13 2.66080612081303e+02 2.61700538341306e+02 4.38007373999741e+00 5.71297129775426e-15 1.12378549677560e-14 1.88087627752497e-16
1376 1.59029910001012e-13 2.72471186486301e+02 2.67893464978219e+02 4.57772150808202e+00 5.85018222742830e-15 1.15037895042789e-14 1.96574950577713e-16
1384 1.59954502501018e-13 2.77417610444012e+02 2.72634104299323e+02 4.78350614468960e+00 5.95638604993114e-15 1.17073604158355e-14 2.05411684026738e-16
1392 1.60879095001023e-13 2.82524516183984e+02 2.77510340887559e+02 5.01417529642557e+00 6.06603554932376e-15 1.19167540988382e-14 2.15316999809327e-16
1400 1.61803687501029e-13 2.88789203382456e+02 2.83556114041292e+02 5.23308934116420e+00 6.20054357632477e-15 1.21763696208399e-14 2.24717531809643e-16
1408 1.62728280001035e-13 2.94158637835276e+02 2.88708340724620e+02 5.45029711065654e+00 6.31582978479442e-15 1.23976147760666e-14 2.34044793522194e-16
1416 1.63652872501041e-13 3.01165961928842e+02 2.95474356171262e+02 5.69160575758050e+00 6.46628284151082e-15 1.26881586961552e-14 2.44406986866482e-16
1424 1.64577465001047e-13 3.07130235945830e+02 3.01199728965596e+02 5.93050698023424e+00 6.59434074849046e-15 1.29340156955594e-14 2.54665801421540e-16
1432 1.65502057501053e-13 3.13183384126987e+02 3.07018908750886e+02 6.16447537610111e+00 6.72430685744333e-15 1.31839009226700e-14 2.64712792216650e-16
1440 1.66426650001059e-13 3.19043243127506e+02 3.12625761469319e+02 6.41748165818693e+00 6.85012288746893e-15 1.34246684735305e-14 2.75577301407317e-16
1448 1.67351242501065e-13 3.26195386670369e+02 3.19521644514593e+02 6.67374215577511e+00 7.00368533780374e-15 1.37207891236009e-14 2.86581552006547e-16
1456 1.68275835001071e-13 3.33710344359470e+02 3.26783013289260e+02 6.92733107021004e+00 7.16503770859789e-15 1.40326043367996e-14 2.97471080396182e-16
1464 1.69200427501076e-13 3.38857301280193e+02 3.31662830803296e+02 7.19447047689771e+00 7.27554714003998e-15 1.42421517906926e-14 3.08942489387374e-16
1472 1.70125020001082e-13 3.45441895741736e+02 3.37976145930765e+02 7.46574981097149e+00 7.41692384115284e-15 1.45132560085819e-14 3.20591673723765e-16
1480 1.71049612501088e-13 3.51894288118162e+02 3.44155841237546e+02 7.73844688061597e+00 7.55546205391486e-15 1.47786223698538e-14 3.32301737975907e-16
1488 1.71974205001094e-13 3.59606921693922e+02 3.51585367500163e+02 8.02155419375861e+00 7.72105868985070e-15 1.50976585443593e-14 3.44458835342129e-16
1496 1.72898797501100e-13 3.67728339493715e+02 3.59422198172871e+02 8.30614132084446e+00 7.89543226192108e-15 1.54341850454698e-14 3.56679478372332e-16
1504 1.73823390001106e-13 3.72248812631291e+02 3.63653641293110e+02 8.59517133818056e+00 7.99249056724153e-15 1.56158902280077e-14 3.69090906475377e-16
1512 1.74747982501112e-13 3.80125237268309e+02 3.71232018004819e+02 8.89321926348936e+00 8.16160393303031e-15 1.59413182875638e-14 3.81889578496802e-16
1520 1.75672575001118e-13 3.88146425364043e+02 3.78956734822435e+02 9.18969054160769e+00 8.33382549027332e-15 1.62730304338726e-14 3.94620546674078e-16
1528 1.76597167501123e-13 3.96035888402026e+02 3.86544670165100e+02 9.49121823692651e+00 8.50321880133847e-15 1.65988689568884e-14 4.07568645788552e-16
1536 1.77521760001129e-13 4.02952482829595e+02 3.93150992134497e+02 9.80149069509861e+00 8.65172381691937e-15 1.68825553743216e-14 4.20892259517156e-16
1544 1.78446352501135e-13 4.09190970096137e+02 3.99083505571746e+02 1.01074645243905e+01 8.78566930966450e-15 1.71373073363337e-14 4.34031282995309e-16
1552 1.79370945001141e-13 4.15988852465735e+02 4.05571432927785e+02 1.04174195379501e+01 8.93162547895938e-15 1.74159096927928e-14 4.47341265125986e-16
1560 1.80295537501147e-13 4.24083564526532e+02 4.13348310671798e+02 1.07352538547334e+01 9.10542565667690e-15 1.77498617157543e-14 4.60989597599525e-16
1568 1.81220130001153e-13 4.30545966991561e+02 4.19497653101530e+02 1.10483138900312e+01 9.24417879433868e-15 1.80139246741662e-14 4.74432914511195e-16
1576 1.82144722501159e-13 4.37659053890204e+02 4.26296023765815e+02 1.13630301243899e+01 9.39690266614775e-15 1.83058579809393e-14 4.87947351356215e-16
1584 1.83069315001165e-13 4.45532182574264e+02 4.33848888413320e+02 1.16832941609436e+01 9.56594526509447e-15 1.86301905101642e-14 5.01700020024728e-16
1592 1.83993907501171e-13 4.50858747966577e+02 4.38858199638403e+02 1.20005483281736e+01 9.68031103930050e-15 1.88452986386863e-14 5.15323439914669e-16
1600 1.84918500001176e-13 4.58809547437079e+02 4.46492807099384e+02 1.23167403376950e+01 9.85102129441408e-15 1.91731413398364e-14 5.28901248991738e-16
1608 1.85843092501182e-13 4.65369066619764e+02 4.52734768393960e+02 1.26342982258040e+01 9.99185960850479e-15 1.94411815058498e-14 5.42537711159733e-16
1616 1.86767685001188e-13 4.70281398534364e+02 4.57329441081405e+02 1.29519574529587e+01 1.00973314465828e-14 1.96384843681713e-14 5.56178524994358e-16
1624 1.87692277501194e-13 4.76337752258179e+02 4.63070563473568e+02 1.32671887846106e+01 1.02273663811937e-14 1.98850176814163e-14 5.69715080971084e-16
1632 1.88616870001200e-13 4.82931481035969e+02 4.69353712694329e+02 1.35777683416393e+01 1.03689392036479e-14 2.01548265252620e-14 5.83051882033703e-16
1640 1.89541462501206e-13 4.89889989847847e+02 4.75998156618989e+02 1.38918332288583e+01 1.05183441558031e-14 2.04401499626534e-14 5.96538348952733e-16
1648 1.90466055001212e-13 4.96199469757242e+02 4.81995886839472e+02 1.42035829177699e+01 1.06538139194366e-14 2.06977024414550e-14 6.09925397418264e-16
1656 1.91390647501218e-13 5.00723219035441e+02 4.86219213154493e+02 1.45040058809487e+01 1.07509425662119e-14 2.08790590749206e-14 6.22826057503203e-16
1664 1.92315240001223e-13 5.06088249665539e+02 4.91277426428103e+02 1.48108232374355e+01 1.08661342209573e-14 2.10962671384771e-14 6.36001303437521e-16
1672 1.93239832501229e-13 5.09164888918265e+02 4.94047997487800e+02 1.51168914304650e+01 1.09321922159645e-14 2.12152400528779e-14 6.49144379051000e-16
1680 1.94164425001235e-13 5.13236984441181e+02 4.97830866814495e+02 1.54061176266853e+01 1.10196234822343e-14 2.13776827330681e-14 6.61564231400560e-16
1688 1.95089017501241e-13 5.16453212157666e+02 5.00749682864255e+02 1.57035292934118e+01 1.10886785572644e-14 2.15030215331052e-14 6.74335581423663e-16
1696 1.96013610001247e-13 5.19881149448966e+02 5.03878868113122e+02 1.60022813358439e+01 1.11622792123535e-14 2.16373939353054e-14 6.87164489401661e-16
1704 1.96938202501253e-13 5.24556274500132e+02 5.08275267538567e+02 1.62810069615646e+01 1.12626580224510e-14 2.18261826150560e-14 6.99133429845953e-16
1712 1.97862795001259e-13 5.28634979621868e+02 5.12065994721497e+02 1.65689849003702e+01 1.13502312022863e-14 2.19889627246198e-14 7.11499679952743e-16
1720 1.98787387501265e-13 5.34314172914708e+02 5.17452853635057e+02 1.68613192796513e+01 1.14721681898128e-14 2.22202833767898e-14 7.24053002835730e-16
1728 1.99711980001271e-13 5.37070086192791e+02 5.19936896715387e+02 1.71331894774036e+01 1.15313399322920e-14 2.23269523047459e-14 7.35727559838023e-16
1736 2.00636572501276e-13 5.40328324758717e+02 5.22913651243832e+02 1.74146735148850e+01 1.16012970150827e-14 2.24547790791091e-14 7.47814951056259e-16
1744 2.01561165001282e-13 5.43155782395789e+02 5.25452231214736e+02 1.77035511810537e+01 1.16620048742531e-14 2.25637899115586e-14 7.60219836947603e-16
1752 2.02485757501288e-13 5.45561810859535e+02 5.27587095354109e+02 1.79747155054264e+01 1.17136642997461e-14 2.26554645169155e-14 7.71864082576765e-16
1760 2.03410350001294e-13 5.47404197812009e+02 5.29148668858410e+02 1.82555289535989e+01 1.17532218747852e-14 2.27225210719920e-14 7.83922677578364e-16
1768 2.04334942501300e-13 5.53797276650124e+02 5.35251737763337e+02 1.85455388867871e+01 1.18904865767142e-14 2.29845969685358e-14 7.96376184892616e-16
1776 2.05259535001306e-13 5.61617869509766e+02 5.42794686300930e+02 1.88231832088356e+01 1.20584011879633e-14 2.33085036835620e-14 8.08298692364623e-16
1784 2.06184127501312e-13 5.68435406513522e+02 5.49326016909483e+02 1.91093896040394e+01 1.22047793585454e-14 2.35889698476386e-14 8.20588869452257e-16
1792 2.07108720001318e-13 5.72593287835414e+02 5.53188765431193e+02 1.94045224042209e+01 1.22940525170279e-14 2.37548426728878e-14 8.33262361167976e-16
1800 2.08033312501323e-13 5.75276415975497e+02 5.55582741807516e+02 1.96936741679808e+01 1.23516615022620e-14 2.38576439872598e-14 8.45679017264292e-16
1808 2.08957905001329e-13 5.77971235479521e+02 5.57981773608494e+02 1.99894618710270e+01 1.24095215107711e-14 2.39606623899475e-14 8.58380631594729e-16
1816 2.09882497501335e-13 5.79500545767746e+02 5.59208958035280e+02 2.02915877324664e+01 1.24423570703169e-14 2.40133597236798e-14 8.71354416954072e-16
1824 2.10807090001341e-13 5.81103947634685e+02 5.60509070311819e+02 2.05948773228669e+01 1.24767834374729e-14 2.40691887001815e-14 8.84378174764250e-16
1832 2.11731682501347e-13 5.84880055921515e+02 5.63978024138265e+02 2.09020317832496e+01 1.25578596124378e-14 2.42181513283769e-14 8.97567896498711e-16
1840 2.12656275001353e-13 5.88890941417357e+02 5.67680104598394e+02 2.12108368189630e+01 1.26439766486889e-14 2.43771248007036e-14 9.10828496674220e-16
1848 2.13580867501359e-13 5.93134165634353e+02 5.71607341202873e+02 2.15268244314793e+01 1.27350821898706e-14 2.45457668511362e-14 9.24397528605039e-16
1856 2.14505460001365e-13 5.94908338047679e+02 5.73065478996814e+02 2.18428590508647e+01 1.27731751422106e-14 2.46083817053324e-14 9.37968579088745e-16
1864 2.15430052501371e-13 5.98390973761933e+02 5.76236352978502e+02 2.21546207834309e+01 1.28479502177805e-14 2.47445442908322e-14 9.51356144728775e-16
1872 2.16354645001376e-13 6.01597576078316e+02 5.79118290757630e+02 2.24792853206854e+01 1.29167986274918e-14 2.48682994767910e-14 9.65297778192600e-16
1880 2.17279237501382e-13 6.06109729296811e+02 5.83309296324288e+02 2.28004329725231e+01 1.30136782972531e-14 2.50482682037400e-14 9.79088390766273e-16
1888 2.18203830001388e-13 6.09083367165733e+02 5.85971453649637e+02 2.31119135160956e+01 1.30775247671713e-14 2.51625856526579e-14 9.92463881684755e-16
1896 2.19128422501394e-13 6.12225326687924e+02 5.88784886489498e+02 2.34404401984266e+01 1.31449852425084e-14 2.52833991229559e-14 1.00657136206089e-15
1904 2.20053015001400e-13 6.16958931361997e+02 5.93195898698973e+02 2.37630326630240e+01 1.32466196585839e-14 2.54728152998781e-14 1.02042401728970e-15
1912 2.20977607501406e-13 6.18218230667417e+02 5.94146097341287e+02 2.40721333261306e+01 1.32736578585146e-14 2.55136184048337e-14 1.03369731219557e-15
1920 2.21902200001412e-13 6.21555892086106e+02 5.97156190321142e+02 2.43997017649633e+01 1.33453202157884e-14 2.56428767875695e-14 1.04776364400730e-15
1928 2.22826792501418e-13 6.24665907119447e+02 5.99945708881893e+02 2.47201982375543e+01 1.34120948164708e-14 2.57626633390770e-14 1.06152629386459e-15
1936 2.23751385001423e-13 6.29546341656087e+02 6.04519678552005e+02 2.50266631040814e+01 1.35168817914041e-14 2.59590771795125e-14 1.07468640329567e-15
1944 2.24675977501429e-13 6.33199423386791e+02 6.07848684914003e+02 2.53507384727874e+01 1.35953164842313e-14 2.61020302315772e-14 1.08860273688528e-15
1952 2.25600570001435e-13 6.36245361784821e+02 6.10577579164953e+02 2.56677826198680e+01 1.36607153064399e-14 2.62192134747180e-14 1.10221713816183e-15
1960 2.26525162501441e-13 6.38970776405349e+02 6.12996503603652e+02 2.59742728016970e+01 1.37192322174608e-14 2.63230861002477e-14 1.11537833467395e-15
1968 2.27449755001447e-13 6.43107476813716e+02 6.16812055439089e+02 2.62954213746273e+01 1.38080506041729e-14 2.64869322215448e-14 1.12916898680087e-15
1976 2.28374347501453e-13 6.49177542158069e+02 6.22565738095948e+02 2.66118040621208e+01 1.39383799386423e-14 2.67340048933785e-14 1.14275498390617e-15
1984 2.29298940001458e-13 6.53391536312250e+02 6.26467859943318e+02 2.69236763689317e+01 1.40288578861464e-14 2.69015684745052e-14 1.15614729778758e-15
1992 2.30223532501464e-13 6.56273905890478e+02 6.29028661519180e+02 2.72452443712979e+01 1.40907447502104e-14 2.70115335395109e-14 1.16995596090981e-15
2000 2.31148125001470e-13 6.60131296780109e+02 6.32567275992461e+02 2.75640207876474e+01 1.41735661300332e-14 2.71634875113658e-14 1.18364474870055e-15
2008 2.32072717501475e-13 6.61722213227726e+02 6.33835822067306e+02 2.78863911604201e+01 1.42077244248870e-14 2.72179609828359e-14 1.19748786693822e-15
2016 2.32997310001481e-13 6.66447512514255e+02 6.38234183423517e+02 2.82133290907375e+01 1.43091805174076e-14 2.74068339111461e-14 1.21152712366903e-15
2024 2.33921902501487e-13 6.69240262549768e+02 6.40700875553119e+02 2.85393869966481e+01 1.43691431756031e-14 2.75127577605133e-14 1.22552859069290e-15
2032 2.34846495001492e-13 6.74180502528658e+02 6.45303914428720e+02 2.88765880999384e+01 1.44752142229547e-14 2.77104198808237e-14 1.24000856508562e-15
2040 2.35771087501498e-13 6.79232778359197e+02 6.50019578109961e+02 2.92132002492351e+01 1.45836907729086e-14 2.79129182969997e-14 1.25446324881748e-15
2048 2.36695680001504e-13 6.83184356835875e+02 6.53634917898667e+02 2.95494389372080e+01 1.46685344382982e-14 2.80681669810954e-14 1.26890189550097e-15
2056 2.37620272501510e-13 6.87401890383034e+02 6.57499481339205e+02 2.99024090438295e+01 1.47590883795033e-14 2.82341177419678e-14 1.28405901703884e-15
2064 2.38544865001515e-13 6.93636494698032e+02 6.63386493696066e+02 3.02500010019664e+01 1.48929505020602e-14 2.84869158121556e-14 1.29898519196480e-15
2072 2.39469457501521e-13 6.99264927391940e+02 6.68667945969386e+02 3.05969814225544e+01 1.50137976174517e-14 2.87137101284489e-14 1.31388510645460e-15
2080 2.40394050001527e-13 7.05265415504989e+02 6.74302395851218e+02 3.09630196537719e+01 1.51426330710920e-14 2.89556627472568e-14 1.32960339492717e-15
2088 2.41318642501532e-13 7.08478587384518e+02 6.77159608846988e+02 3.13189785375300e+01 1.52116225347696e-14 2.90783562100290e-14 1.34488885951013e-15
2096 2.42243235001538e-13 7.13924963414692e+02 6.82250978065932e+02 3.16739853487602e+01 1.53285607426825e-14 2.92969880448446e-14 1.36013344052038e-15
2104 2.43167827501544e-13 7.18904133169012e+02 6.86857718151392e+02 3.20464150176200e+01 1.54354676445818e-14 2.94948091012424e-14 1.37612618792114e-15
2112 2.44092420001549e-13 7.24670803039039e+02 6.92265537378949e+02 3.24052656600895e+01 1.55592828267305e-14 2.97270298240438e-14 1.39153582941718e-15
2120 2.45017012501555e-13 7.28564573775788e+02 6.95801566269204e+02 3.27630075065841e+01 1.56428853120265e-14 2.98788727666772e-14 1.40689785737587e-15
2128 2.45941605001561e-13 7.36569343512715e+02 7.03435180865286e+02 3.31341626474293e+01 1.58147543534966e-14 3.02066728325625e-14 1.42283587443075e-15
2136 2.46866197501566e-13 7.44329031206172e+02 7.10838940255296e+02 3.34900909508765e+01 1.59813612803430e-14 3.05246025348415e-14 1.43812002584446e-15
2144 2.47790790001572e-13 7.52996447851180e+02 7.19150592873642e+02 3.38458549775374e+01 1.61674579002030e-14 3.08815186774653e-14 1.45339712294063e-15
2152 2.48715382501578e-13 7.59837230628004e+02 7.25627501943976e+02 3.42097286840281e+01 1.63143351768015e-14 3.11596478904699e-14 1.46902246313305e-15
2160 2.49639975001583e-13 7.67120124320316e+02 7.32561845042267e+02 3.45582792780481e+01 1.64707049412248e-14 3.14574200789765e-14 1.48398980347308e-15
2168 2.50564567501589e-13 7.74840108001611e+02 7.39931765334586e+02 3.49083426670258e+01 1.66364593900191e-14 3.17738966743016e-14 1.49902210573652e-15
2176 2.51489160001595e-13 7.80848614685667e+02 7.45586376469713e+02 3.52622382159542e+01 1.67654670090255e-14 3.20167150507497e-14 1.51421896730126e-15
2184 2.52413752501600e-13 7.88928643341059e+02 7.53324954921915e+02 3.56036884191438e+01 1.69389519218577e-14 3.23490224386276e-14 1.52888140508789e-15
2192 2.53338345001606e-13 7.97141118244736e+02 7.61193033802585e+02 3.59480844421510e+01 1.71152805654265e-14 3.26868907895919e-14 1.54367034126111e-15
2200 2.54262937501612e-13 8.06917514275512e+02 7.70625412877283e+02 3.62921013982285e+01 1.73251878919409e-14 3.30919327842098e-14 1.55844299967194e-15
2208 2.55187530001617e-13 8.14833336220470e+02 7.78204646033781e+02 3.66286901866890e+01 1.74951471505879e-14 3.34173976209250e-14 1.57289668025077e-15
2216 2.56112122501623e-13 8.22164584352072e+02 7.85195502089454e+02 3.69690822626180e+01 1.76525551249042e-14 3.37175965695097e-14 1.58751368029864e-15
2224 2.57036715001629e-13 8.27830768861033e+02 7.90523089370164e+02 3.73076794908694e+01 1.77742128030577e-14 3.39463719995037e-14 1.60205360661171e-15
2232 2.57961307501634e-13 8.37625369767287e+02 7.99979694726559e+02 3.76456750407284e+01 1.79845110033388e-14 3.43524543108204e-14 1.61656769585714e-15
2240 2.58885900001640e-13 8.47269660741311e+02 8.09282470226750e+02 3.79871905145610e+01 1.81915819247818e-14 3.47519309130901e-14 1.63123293647339e-15
2248 2.59810492501646e-13 8.53705140331388e+02 8.15379133290514e+02 3.83260070408732e+01 1.83297570060017e-14 3.50137317321947e-14 1.64578227980874e-15
2256 2.60735085001652e-13 8.61282848779443e+02 8.22613578799794e+02 3.86692699796485e+01 1.84924566876052e-14 3.53243908157438e-14 1.66052255946660e-15
2264 2.61659677501657e-13 8.69730455421170e+02 8.30716359530437e+02 3.90140958907332e+01 1.86738338044925e-14 3.56723376532384e-14 1.67532995574654e-15
2272 2.62584270001663e-13 8.79527262301324e+02 8.40171812237521e+02 3.93554500638026e+01 1.88841793688617e-14 3.60783704678828e-14 1.68998826984061e-15
2280 2.63508862501669e-13 8.93218377524340e+02 8.53512528782316e+02 3.97058487420249e+01 1.91781389613759e-14 3.66512429527717e-14 1.70503496998006e-15
2288 2.64433455001674e-13 9.06325939215983e+02 8.66269980858989e+02 4.00559583569932e+01 1.94595691758592e-14 3.71990690944543e-14 1.72006925726418e-15
2296 2.65358047501680e-13 9.20384638816499e+02 8.79982042493620e+02 4.04025963228791e+01 1.97614211096520e-14 3.77878877531226e-14 1.73495446618134e-15
2304 2.66282640001686e-13 9.35524796999213e+02 8.94763226322782e+02 4.07615706764310e+01 2.00864928556343e-14 3.84226162912322e-14 1.75036942003634e-15
2312 2.67207232501691e-13 9.47987492888920e+02 9.06870913199327e+02 4.11165796895926e+01 2.03540772668155e-14 3.89425404380299e-14 1.76561409560117e-15
2320 2.68131825001697e-13 9.54190012577614e+02 9.12722886659684e+02 4.14671259179299e+01 2.04872505058505e-14 3.91938338799138e-14 1.78066713178718e-15
2328 2.69056417501703e-13 9.60999073002087e+02 9.19168848396224e+02 4.18302246058633e+01 2.06334466772491e-14 3.94706341631003e-14 1.79625919139791e-15
2336 2.69981010001708e-13 9.65206022975656e+02 9.23021165618400e+02 4.21848573572568e+01 2.07237733803565e-14 3.96360590510543e-14 1.81148770965865e-15
2344 2.70905602501714e-13 9.74730586215973e+02 9.32196017565182e+02 4.25345686507907e+01 2.09282736481135e-14 4.00300424038669e-14 1.82650489236003e-15
2352 2.71830195001720e-13 9.91944054363370e+02 9.49046804008462e+02 4.28972503549076e+01 2.12978610776209e-14 4.07536431092473e-14 1.84207904599440e-15
2360 2.72754787501725e-13 1.01209179317543e+03 9.68842961875790e+02 4.32488312996384e+01 2.17304497305392e-14 4.16037229464607e-14 1.85717651461770e-15
2368 2.73679380001731e-13 1.02933719296198e+03 9.85742544712161e+02 4.35946482498172e+01 2.21007227588076e-14 4.23294190498559e-14 1.87202646775931e-15
2376 2.74603972501737e-13 1.04293517773471e+03 9.98982112070882e+02 4.39530656638290e+01 2.23926827633576e-14 4.28979480210081e-14 1.88741750570716e-15
2384 2.75528565001742e-13 1.05872894137609e+03 1.01443145183004e+03 4.42974895460542e+01 2.27317879603163e-14 4.35613682824311e-14 1.90220763820138e-15
2392 2.76453157501748e-13 1.07009637320636e+03 1.02546579079406e+03 4.46305824122964e+01 2.29758561442683e-14 4.40352010904520e-14 1.91651119808456e-15
2400 2.77377750001754e-13 1.08369342996614e+03 1.03871941194423e+03 4.49740180219139e+01 2.32677962236109e-14 4.46043335547072e-14 1.93125889251463e-15
2408 2.78302342501759e-13 1.09834842494230e+03 1.05304590138549e+03 4.53025235568096e+01 2.35824511133928e-14 4.52195367620008e-14 1.94536546478484e-15
2416 2.79226935001765e-13 1.10948158373422e+03 1.06387017024533e+03 4.56114134888972e+01 2.38214892610206e-14 4.56843488114899e-14 1.95862971055140e-15
2424 2.80151527501771e-13 1.11929958618044e+03 1.07337333451582e+03 4.59262516646182e+01 2.40322899117624e-14 4.60924304397641e-14 1.97214938376068e-15
2432 2.81076120001776e-13 1.12863844722381e+03 1.08240684513604e+03 4.62316020877715e+01 2.42328029994209e-14 4.64803443616961e-14 1.98526163714574e-15
2440 2.82000712501782e-13 1.13688611380118e+03 1.09037628546567e+03 4.65098283355117e+01 2.44098872373945e-14 4.68225653413173e-14 1.99720913347167e-15
2448 2.82925305001788e-13 1.14264421582796e+03 1.09585602877200e+03 4.67881870559596e+01 2.45335184608468e-14 4.70578746032982e-14 2.00916231839529e-15
2456 2.83849897501794e-13 1.15422953181103e+03 1.10716185259367e+03 4.70676792173656e+01 2.47822647981653e-14 4.75433654211780e-14 2.02116417515268e-15
2464 2.84774490001799e-13 1.16299842184991e+03 1.11568358267358e+03 4.73148391763248e+01 2.49705401359037e-14 4.79093026382713e-14 2.03177763353616e-15
2472 2.85699082501805e-13 1.17298823138660e+03 1.12543686971098e+03 4.75513616756199e+01 2.51850296272904e-14 4.83281249528140e-14 2.04193430176672e-15
2480 2.86623675001811e-13 1.18003034160187e+03 1.13222941275952e+03 4.78009288423424e+01 2.53362295708742e-14 4.86198080121061e-14 2.05265112964226e-15
2488 2.87548267501816e-13 1.18584653202272e+03 1.13782800551448e+03 4.80185265082420e+01 2.54611080002972e-14 4.88602208664415e-14 2.06199513415292e-15
2496 2.88472860001822e-13 1.18726844188717e+03 1.13905735448765e+03 4.82110873995250e+01 2.54916375837195e-14 4.89130111493839e-14 2.07026401805517e-15
2504 2.89397452501828e-13 1.19106455349880e+03 1.14263777304426e+03 4.84267804545440e+01 2.55731432466488e-14 4.90667602578804e-14 2.07952623541711e-15
2512 2.90322045001833e-13 1.19444968786758e+03 1.14583042046246e+03 4.86192674051216e+01 2.56458248875116e-14 4.92038578308403e-14 2.08779194418289e-15
2520 2.91246637501839e-13 1.19369824557353e+03 1.14492628553614e+03 4.87719600373853e+01 2.56296907985818e-14 4.91650327782149e-14 2.09434881894861e-15
2528 2.92171230001845e-13 1.19419147666478e+03 1.14523885100651e+03 4.89526256582725e+01 2.56402808789543e-14 4.91784548576887e-14 2.10210690021989e-15
2536 2.93095822501850e-13 1.19780641587100e+03 1.14868049819980e+03 4.91259176711993e+01 2.57178966201639e-14 4.93262448937866e-14 2.10954834654127e-15
2544 2.94020415001856e-13 1.20471834563158e+03 1.15546949723233e+03 4.92488483992471e+01 2.58663014814781e-14 4.96177757671561e-14 2.11482719580019e-15
2552 2.94945007501862e-13 1.21284756960609e+03 1.16345152818159e+03 4.93960414244992e+01 2.60408426585903e-14 4.99605374088571e-14 2.12114790832349e-15
2560 2.95869600001867e-13 1.22245857615010e+03 1.17290438166323e+03 4.95541944868696e+01 2.62471989357311e-14 5.03664586084518e-14 2.12793926301037e-15
2568 2.96794192501873e-13 1.23261131251323e+03 1.18295222422642e+03 4.96590882868119e+01 2.64651866011327e-14 5.07979296255909e-14 2.13244357667453e-15
2576 2.97718785001879e-13 1.24264760059377e+03 1.19287266866564e+03 4.97749319281264e+01 2.66806740253821e-14 5.12239299560842e-14 2.13741809468004e-15
2584 2.98643377501884e-13 1.25637612657048e+03 1.20645932096626e+03 4.99168056042211e+01 2.69754368577881e-14 5.18073633300442e-14 2.14351038553201e-15
2592 2.99567970001890e-13 1.27031045632475e+03 1.22029915297301e+03 5.00113033517435e+01 2.72746184678908e-14 5.24016686603111e-14 2.14756827547052e-15
2600 3.00492562501896e-13 1.28187337806635e+03 1.23177617665268e+03 5.00972014136662e+01 2.75228839822822e-14 5.28945110839118e-14 2.15125688065267e-15
2608 3.01417155001901e-13 1.29489476385022e+03 1.24467973578401e+03 5.02150280662127e+01 2.78024639285937e-14 5.34486113047396e-14 2.15631655244795e-15
2616 3.02341747501907e-13 1.30511663374043e+03 1.25481811098727e+03 5.02985227531643e+01 2.80219359481271e-14 5.38839699435297e-14 2.15990195272449e-15
2624 3.03266340001913e-13 1.31464764031104e+03 1.26429453566243e+03 5.03531046486085e+01 2.82265745595264e-14 5.42909033292512e-14 2.16224578980161e-15
2632 3.04190932501918e-13 1.32553843420792e+03 1.27510528544709e+03 5.04331487608290e+01 2.84604089319595e-14 5.47551348472402e-14 2.16568301667878e-15
2640 3.05115525001924e-13 1.33558948211969e+03 1.28509590102841e+03 5.04935810912886e+01 2.86762132620201e-14 5.51841484429057e-14 2.16827808113441e-15
2648 3.06040117501930e-13 1.34892266792329e+03 1.29841147644990e+03 5.05111914733852e+01 2.89624878132086e-14 5.57559413262808e-14 2.16903430013642e-15
2656 3.06964710001936e-13 1.36264674335600e+03 1.31210644790443e+03 5.05402954515762e+01 2.92571550887461e-14 5.63440261042831e-14 2.17028407320898e-15
2664 3.07889302501941e-13 1.37450893499444e+03 1.32394493090149e+03 5.05640040929484e+01 2.95118461758897e-14 5.68523901902053e-14 2.17130216157407e-15
2672 3.08813895001947e-13 1.38649835362219e+03 1.33595577154143e+03 5.05425820807639e+01 2.97692689319536e-14 5.73681555990500e-14 2.17038226485711e-15
2680 3.09738487501953e-13 1.39759162938774e+03 1.34707347816002e+03 5.05181512277155e+01 3.00074507579456e-14 5.78455683523659e-14 2.16933316352535e-15
2688 3.10663080001958e-13 1.41135094734399e+03 1.36085195325701e+03 5.04989940869749e+01 3.03028747196762e-14 5.84372389152095e-14 2.16851052414293e-15
2696 3.11587672501964e-13 1.42607009690277e+03 1.37562690951099e+03 5.04431873917752e+01 3.06189070615252e-14 5.90717000309166e-14 2.16611409213382e-15
