#[0]step() [1]time(s) [2]total(J) [3]ele(J) [4]ion(J) [5]total_mean(J) [6]ele_mean(J) [7]ion_mean(J)
776 8.96854725005705e-14 7.05113965341861e-02 7.04575893042264e-02 5.38072299597137e-05 1.51393813105513e-18 3.02556569045331e-18 2.31057165696522e-21
784 9.06100650005764e-14 7.91878877409290e-02 7.91288375151882e-02 5.90502257408282e-05 1.70022958927755e-18 3.39792346396738e-18 2.53571458772938e-21
792 9.15346575005823e-14 9.71865784359839e-02 9.71169421489681e-02 6.96362870157741e-05 2.08667639776049e-18 4.17036249791235e-18 2.99029760861896e-21
800 9.24592500005882e-14 1.15616938913292e-01 1.15535752832042e-01 8.11860812494958e-05 2.48239151428296e-18 4.96129676364547e-18 3.48626492045044e-21
808 9.33838425005941e-14 1.33115879272086e-01 1.33024812240240e-01 9.10670318455051e-05 2.85810826879928e-18 5.71230596827872e-18 3.91056931984261e-21
816 9.43084350006000e-14 1.77329682234504e-01 1.77214446712167e-01 1.15235522337386e-04 3.80741526758083e-18 7.60988213079317e-18 4.94840436847796e-21
824 9.52330275006058e-14 2.26874579805845e-01 2.26728372050891e-01 1.46207754953496e-04 4.87118528660331e-18 9.73609216982335e-18 6.27840338328135e-21
832 9.61576200006117e-14 2.65331236693292e-01 2.65163178924294e-01 1.68057768997077e-04 5.69688158701034e-18 1.13865464948111e-17 7.21667920961898e-21
840 9.70822125006176e-14 3.64906457264529e-01 3.64688362651461e-01 2.18094613067959e-04 7.83484411137948e-18 1.56603228785131e-17 9.36534424591111e-21
848 9.80068050006235e-14 4.84829348777328e-01 4.84532647139747e-01 2.96701637580500e-04 1.04096879972127e-17 2.08066351342310e-17 1.27408601944748e-20
856 9.89313975006294e-14 5.70475935067983e-01 5.70125088936744e-01 3.50846131238685e-04 1.22485911980203e-17 2.44821164815268e-17 1.50659145137736e-20
864 9.98559900006352e-14 7.90367774983385e-01 7.89921429296563e-01 4.46345686821363e-04 1.69698512711263e-17 3.39205357185015e-17 1.91668237511998e-20
872 1.00780582500641e-13 1.03652921444938e+00 1.03590019424441e+00 6.29020204965040e-04 2.22551414216668e-17 4.44832716729325e-17 2.70111704010567e-20
880 1.01705175000647e-13 1.22996438680886e+00 1.22919496765509e+00 7.69419153769031e-04 2.64083549122018e-17 5.27836696903853e-17 3.30401340183456e-20
888 1.02629767500653e-13 1.70510210065017e+00 1.70415972078211e+00 9.42379868062759e-04 3.66099554738638e-17 7.31794435939004e-17 4.04673538271847e-20
896 1.03554360000659e-13 2.10460558123982e+00 2.10327908160563e+00 1.32649963419257e-03 4.51876263537857e-17 9.03182906141867e-17 5.69620933847526e-20
904 1.04478952500665e-13 2.61981251281311e+00 2.61812994033255e+00 1.68257248055836e-03 5.62495462338515e-17 1.12426840015992e-16 7.22524517110170e-20
912 1.05403545000671e-13 3.41530407654896e+00 3.41330691064237e+00 1.99716590658923e-03 7.33294094966431e-17 1.46573057378323e-16 8.57616149628466e-20
