#[0]step() [1]time(s) [2]xmin(m) [3]xmax(m) [4]ymin(m) [5]ymax(m) [6]zmin(m) [7]zmax(m) [8]pxmin(kg*m/s) [9]pxmax(kg*m/s) [10]pymin(kg*m/s) [11]pymax(kg*m/s) [12]pzmin(kg*m/s) [13]pzmax(kg*m/s) [14]gmin() [15]gmax() [16]wmin(1/m) [17]wmax(1/m)
464 5.36263650003411e-14 2.53307073373152e-05 6.99999458496290e-05 0.00000000000000e+00 0.00000000000000e+00 1.40789451020325e-11 2.99999348518253e-05 -5.34742856788485e-24 5.35539520492198e-24 -5.87681845305396e-24 5.97560491599497e-24 -5.18810445912826e-24 5.11722339139707e-24 1.00000000012628e+00 1.00027069682396e+00 2.17744964096033e+10 2.17744964096033e+10
472 5.45509575003470e-14 2.53296880900918e-05 6.99999577609993e-05 0.00000000000000e+00 0.00000000000000e+00 1.36336454007856e-12 2.99999824605279e-05 -5.38957357563752e-24 5.36572732346866e-24 -5.87418500992432e-24 5.97694662567403e-24 -5.12991226095994e-24 5.11045480983817e-24 1.00000000116908e+00 1.00027011262160e+00 2.17744964096033e+10 2.17744964096033e+10
480 5.54755500003529e-14 2.53287203602500e-05 6.99999966228672e-05 0.00000000000000e+00 0.00000000000000e+00 3.20441872532482e-11 2.99999997026888e-05 -5.40729134258382e-24 5.34924307148251e-24 -5.87506469374569e-24 5.97852199942147e-24 -5.05233372861057e-24 5.10945639140947e-24 1.00000000072061e+00 1.00026975071314e+00 2.17744964096033e+10 2.17744964096033e+10
488 5.64001425003588e-14 2.53278050695301e-05 6.99999640521199e-05 0.00000000000000e+00 0.00000000000000e+00 5.01338339356806e-11 2.99999870015270e-05 -5.39365715768089e-24 5.31315913281158e-24 -5.87560453876889e-24 5.98239061573138e-24 -5.14280990932115e-24 5.11623001885085e-24 1.00000000134726e+00 1.00026963964159e+00 2.17744964096033e+10 2.17744964096033e+10
496 5.73247350003647e-14 2.53269438404785e-05 6.99999634001003e-05 0.00000000000000e+00 0.00000000000000e+00 2.57315192272328e-11 2.99999875342726e-05 -5.34596784298823e-24 5.25966784337803e-24 -5.88134396816266e-24 5.98611397367847e-24 -5.26858271558241e-24 5.13371286504190e-24 1.00000000025438e+00 1.00026982637139e+00 2.17744964096033e+10 2.17744964096033e+10
504 5.82493275003705e-14 2.53261393454064e-05 6.99999661691548e-05 0.00000000000000e+00 0.00000000000000e+00 6.70760192316789e-11 2.99999582582790e-05 -5.33422240269379e-24 5.19475881521243e-24 -5.88771804241384e-24 5.99492738629798e-24 -5.37738085970033e-24 5.16299149178256e-24 1.00000000274201e+00 1.00027003956500e+00 2.17744964096033e+10 2.17744964096033e+10
512 5.91739200003764e-14 2.53253909614584e-05 6.99999943360980e-05 0.00000000000000e+00 0.00000000000000e+00 3.76091620597829e-12 2.99999330438872e-05 -5.31714964860220e-24 5.12380675871888e-24 -5.89007524298247e-24 5.99644618945246e-24 -5.46400140970917e-24 5.23398714248972e-24 1.00000000138830e+00 1.00027040703269e+00 2.17744964096033e+10 2.17744964096033e+10
520 6.00985125003823e-14 2.53247011809879e-05 6.99999724444770e-05 0.00000000000000e+00 0.00000000000000e+00 4.59172126827891e-11 2.99999890196096e-05 -5.27999786724372e-24 5.05009892207973e-24 -5.89404393380966e-24 5.99484579956170e-24 -5.52079769575323e-24 5.33451295169439e-24 1.00000000092117e+00 1.00027106923114e+00 2.17744964096033e+10 2.17744964096033e+10
528 6.10231050003882e-14 2.53240721021916e-05 6.99999912687031e-05 0.00000000000000e+00 0.00000000000000e+00 2.35787823309451e-11 2.99999752305420e-05 -5.22668276032919e-24 4.97735059029318e-24 -5.89600951561786e-24 5.99165028669680e-24 -5.54268770658785e-24 5.43119825084857e-24 1.00000000461384e+00 1.00027166925675e+00 2.17744964096033e+10 2.17744964096033e+10
536 6.19476975003941e-14 2.53235063974458e-05 6.99999885650690e-05 0.00000000000000e+00 0.00000000000000e+00 1.20040303008319e-11 2.99999748739975e-05 -5.15841239603738e-24 4.90996795432986e-24 -5.89744615969860e-24 5.98778563027643e-24 -5.53080583174557e-24 5.51490846433405e-24 1.00000000096026e+00 1.00027255346923e+00 2.17744964096033e+10 2.17744964096033e+10
544 6.28722900004000e-14 2.53230046293053e-05 6.99999833975948e-05 0.00000000000000e+00 0.00000000000000e+00 4.90238056787408e-11 2.99999708845466e-05 -5.07663449667645e-24 4.86427903062856e-24 -5.89534233536830e-24 5.98471031705357e-24 -5.49511970078515e-24 5.58408137653369e-24 1.00000000079763e+00 1.00027363906527e+00 2.17744964096033e+10 2.17744964096033e+10
552 6.37968825004058e-14 2.53225697576878e-05 6.99999985783995e-05 0.00000000000000e+00 0.00000000000000e+00 1.16369501518667e-12 2.99999852230424e-05 -4.98283053728124e-24 4.91620952800056e-24 -5.89627766429582e-24 5.98123025906181e-24 -5.43963870877000e-24 5.65627298054055e-24 1.00000000087093e+00 1.00027506734732e+00 2.17744964096033e+10 2.17744964096033e+10
560 6.47214750004117e-14 2.53222017675055e-05 6.99999754459511e-05 0.00000000000000e+00 0.00000000000000e+00 8.37147107493421e-13 2.99999921716515e-05 -5.02508367948189e-24 4.95938343251670e-24 -5.88824236783136e-24 5.98036254281408e-24 -5.37417109272548e-24 5.73473209527449e-24 1.00000000116534e+00 1.00027697674635e+00 2.17744964096033e+10 2.17744964096033e+10
568 6.56460675004176e-14 2.53218991205466e-05 6.99999684495814e-05 0.00000000000000e+00 0.00000000000000e+00 3.33915270783237e-12 2.99999903076304e-05 -5.08733075469084e-24 4.98297521663539e-24 -5.88382346364152e-24 5.97913920136488e-24 -5.30630600911211e-24 5.78938655354990e-24 1.00000000269312e+00 1.00027900437884e+00 2.17744964096033e+10 2.17744964096033e+10
576 6.65706600004235e-14 2.53216629516044e-05 6.99999522988921e-05 0.00000000000000e+00 0.00000000000000e+00 6.62003553443037e-11 2.99999994839450e-05 -5.14799656046325e-24 4.98579149178193e-24 -5.88379891876424e-24 5.97870685112692e-24 -5.24032862669364e-24 5.81207131261967e-24 1.00000000297228e+00 1.00028068144363e+00 2.17744964096033e+10 2.17744964096033e+10
584 6.74952525004294e-14 2.53214937989289e-05 6.99999230919413e-05 0.00000000000000e+00 0.00000000000000e+00 7.42296090046335e-12 2.99999763956248e-05 -5.20560001485019e-24 4.96790185189938e-24 -5.88256320038940e-24 5.97797753835873e-24 -5.18131302238324e-24 5.80641037509763e-24 1.00000000070562e+00 1.00028237977150e+00 2.17744964096033e+10 2.17744964096033e+10
592 6.84198450004352e-14 2.53213922696001e-05 6.99999866046170e-05 0.00000000000000e+00 0.00000000000000e+00 3.62207897624658e-12 2.99999282012119e-05 -5.25602773491947e-24 4.93089729945927e-24 -5.88203871761341e-24 5.97506334059052e-24 -5.12981238718672e-24 5.77242100518778e-24 1.00000000521642e+00 1.00028384555731e+00 2.17744964096033e+10 2.17744964096033e+10
600 6.93444375004411e-14 2.53213574460896e-05 6.99999989984194e-05 0.00000000000000e+00 0.00000000000000e+00 1.68552977937518e-11 2.99999521207064e-05 -5.30111774089747e-24 4.87617302607387e-24 -5.87955425989357e-24 5.97453988195082e-24 -5.08538817021819e-24 5.71102223625739e-24 1.00000000058773e+00 1.00028520109744e+00 2.17744964096033e+10 2.17744964096033e+10
608 7.02690300004470e-14 2.53213908890557e-05 6.99998625399824e-05 0.00000000000000e+00 0.00000000000000e+00 1.97203327445712e-11 2.99999975867557e-05 -5.34300400846940e-24 4.92123502171078e-24 -5.88035110857450e-24 5.97524072198366e-24 -5.05325479288795e-24 5.63517083639910e-24 1.00000000208100e+00 1.00028633592053e+00 2.17744964096033e+10 2.17744964096033e+10
616 7.11936225004529e-14 2.53214937358529e-05 6.99999783054014e-05 0.00000000000000e+00 0.00000000000000e+00 5.29821967056724e-12 2.99999896918439e-05 -5.37477797702328e-24 4.95951274688440e-24 -5.88260579448511e-24 5.97780405700190e-24 -5.03246124529851e-24 5.56204395550449e-24 1.00000000514654e+00 1.00028660534208e+00 2.17744964096033e+10 2.17744964096033e+10
624 7.21182150004588e-14 2.53216626866218e-05 6.99998569928487e-05 0.00000000000000e+00 0.00000000000000e+00 1.46236886769608e-11 2.99999866356035e-05 -5.39987579512848e-24 4.98144951228279e-24 -5.88344898653437e-24 5.97878727136037e-24 -5.04862852585416e-24 5.52605939231908e-24 1.00000000117285e+00 1.00028625968015e+00 2.17744964096033e+10 2.17744964096033e+10
632 7.30428075004647e-14 2.53218978728331e-05 6.99999859956659e-05 0.00000000000000e+00 0.00000000000000e+00 3.18324077243801e-11 2.99999856734437e-05 -5.41501853001153e-24 5.07424046084923e-24 -5.88177999073095e-24 5.97888868344242e-24 -5.07083971654319e-24 5.49906466541277e-24 1.00000000262565e+00 1.00028520484166e+00 2.17744964096033e+10 2.17744964096033e+10
640 7.39674000004705e-14 2.53221997837194e-05 6.99998994796631e-05 0.00000000000000e+00 0.00000000000000e+00 1.55590558767671e-11 2.99999965788066e-05 -5.42094691152997e-24 5.24082018547623e-24 -5.88015516318552e-24 5.97979910379757e-24 -5.09006934374420e-24 5.48214175891362e-24 1.00000000254930e+00 1.00028654721980e+00 2.17744964096033e+10 2.17744964096033e+10
648 7.48919925004764e-14 2.53225672807128e-05 6.99999587788321e-05 0.00000000000000e+00 0.00000000000000e+00 8.44378071066759e-11 2.99999416188489e-05 -5.41762364044673e-24 5.36650538604791e-24 -5.87737643991164e-24 5.98286697409872e-24 -5.11392849008327e-24 5.46921266725582e-24 1.00000000144656e+00 1.00028804724813e+00 2.17744964096033e+10 2.17744964096033e+10
656 7.58165850004823e-14 2.53229997008252e-05 6.99999345267360e-05 0.00000000000000e+00 0.00000000000000e+00 2.09998563473917e-12 2.99999861359974e-05 -5.41745188356826e-24 5.44068256532813e-24 -5.88032523798561e-24 5.98212120297941e-24 -5.17442890881103e-24 5.45504391200575e-24 1.00000000176548e+00 1.00028766909009e+00 2.17744964096033e+10 2.17744964096033e+10
664 7.67411775004882e-14 2.53234983690957e-05 6.99998739335331e-05 0.00000000000000e+00 0.00000000000000e+00 1.50326180167325e-11 2.99999839556766e-05 -5.41748722803367e-24 5.46275575260212e-24 -5.88083291819287e-24 5.98017823206470e-24 -5.28062193592283e-24 5.43265433077569e-24 1.00000000084143e+00 1.00028561787907e+00 2.17744964096033e+10 2.17744964096033e+10
672 7.76657700004941e-14 2.53240643279103e-05 6.99999336440678e-05 0.00000000000000e+00 0.00000000000000e+00 7.73428396206441e-11 2.99999953115516e-05 -5.43164209662962e-24 5.43715048736995e-24 -5.87899188393031e-24 5.97612657153465e-24 -5.37574180942819e-24 5.39851988818397e-24 1.00000000101836e+00 1.00028153572798e+00 2.17744964096033e+10 2.17744964096033e+10
680 7.85903625005000e-14 2.53246968585859e-05 6.99997850870830e-05 0.00000000000000e+00 0.00000000000000e+00 2.70575431228189e-11 2.99999442218081e-05 -5.45957804934282e-24 5.36803640837104e-24 -5.87980811910002e-24 5.97859435487833e-24 -5.45380585783839e-24 5.35088864714521e-24 1.00000000395172e+00 1.00028066542213e+00 2.17744964096033e+10 2.17744964096033e+10
688 7.95149550005058e-14 2.53253964286014e-05 6.99999738447778e-05 0.00000000000000e+00 0.00000000000000e+00 2.95041379497793e-11 2.99999877243532e-05 -5.49701315611260e-24 5.26815910681878e-24 -5.88137643881797e-24 5.98034859251280e-24 -5.50304403124232e-24 5.36985603694624e-24 1.00000000115830e+00 1.00027949897960e+00 2.17744964096033e+10 2.17744964096033e+10
696 8.04395475005117e-14 2.53261656742418e-05 6.99999676859756e-05 0.00000000000000e+00 0.00000000000000e+00 1.13313629211350e-11 2.99999906772300e-05 -5.53406041563563e-24 5.16792216528703e-24 -5.87976399471247e-24 5.98500784431792e-24 -5.51571440992052e-24 5.42059500586043e-24 1.00000000050651e+00 1.00027792766988e+00 2.17744964096033e+10 2.17744964096033e+10
704 8.13641400005176e-14 2.53270056197361e-05 6.99999951221733e-05 0.00000000000000e+00 0.00000000000000e+00 8.31404343710771e-12 2.99999530757089e-05 -5.57240993723000e-24 5.10627193375277e-24 -5.88452573249700e-24 5.99113503337174e-24 -5.49027391728128e-24 5.46216962492429e-24 1.00000000143753e+00 1.00027576261992e+00 2.17744964096033e+10 2.17744964096033e+10
712 8.22887325005235e-14 2.53279170783962e-05 6.99998987961014e-05 0.00000000000000e+00 0.00000000000000e+00 4.89088001746954e-11 2.99999612724536e-05 -5.61041609695520e-24 5.06888442178618e-24 -5.88666423036873e-24 5.99288767394695e-24 -5.42868511966523e-24 5.48034039058828e-24 1.00000000053650e+00 1.00027360423310e+00 2.17744964096033e+10 2.17744964096033e+10
720 8.32133250005294e-14 2.53289024843904e-05 6.99999486284873e-05 0.00000000000000e+00 0.00000000000000e+00 1.31609850513408e-11 2.99999892272823e-05 -5.64572503660365e-24 5.05026398927844e-24 -5.88885283129104e-24 5.98892510758008e-24 -5.33124026095500e-24 5.47611125276266e-24 1.00000000209613e+00 1.00027112109156e+00 2.17744964096033e+10 2.17744964096033e+10
728 8.41379175005352e-14 2.53299640591434e-05 6.99999948675487e-05 0.00000000000000e+00 0.00000000000000e+00 3.71219319931886e-11 2.99999732105609e-05 -5.67888264471971e-24 5.00902870224028e-24 -5.88741692132913e-24 5.98608460833401e-24 -5.59228208544211e-24 5.45263296878063e-24 1.00000000085574e+00 1.00027024105061e+00 2.17744964096033e+10 2.17744964096033e+10
736 8.50625100005411e-14 2.53311100443717e-05 6.99999885675600e-05 0.00000000000000e+00 0.00000000000000e+00 2.91671123525976e-11 2.99999647171368e-05 -5.71338842940225e-24 5.00193039447198e-24 -5.88441325432803e-24 5.98717238399610e-24 -8.76035347185596e-24 5.48821548574825e-24 1.00000000054956e+00 1.00052594063849e+00 2.17744964096033e+10 2.17744964096033e+10
744 8.59871025005470e-14 2.53323752615392e-05 6.99999969641777e-05 0.00000000000000e+00 0.00000000000000e+00 2.83693911393742e-11 2.99999803179875e-05 -5.75206288699297e-24 5.03532189575849e-24 -5.88350705776515e-24 5.98564548439283e-24 -1.35520645805281e-23 5.48444286259902e-24 1.00000000078998e+00 1.00124206705647e+00 2.17744964096033e+10 2.17744964096033e+10
752 8.69116950005529e-14 2.53337851458853e-05 6.99999614775257e-05 0.00000000000000e+00 0.00000000000000e+00 9.30986140094828e-13 2.99999549151498e-05 -5.78970890507064e-24 5.04545881557401e-24 -5.88320792664829e-24 5.98229304220204e-24 -1.37153047382539e-23 2.74557278940706e-23 1.00000000047576e+00 1.00506623174783e+00 2.17744964096033e+10 2.17744964096033e+10
760 8.78362875005588e-14 2.53352648638220e-05 6.99999725351072e-05 0.00000000000000e+00 0.00000000000000e+00 1.09349730537263e-12 2.99999394138958e-05 -5.82326768086758e-24 5.04253951581793e-24 -5.88735929611211e-24 5.97885305580827e-24 -1.30432146066161e-23 2.96084210228129e-23 1.00000000451038e+00 1.00586217287918e+00 2.17744964096033e+10 2.17744964096033e+10
768 8.87608800005647e-14 2.53367287403544e-05 6.99999147181912e-05 0.00000000000000e+00 0.00000000000000e+00 7.45645495669941e-11 2.99999696548772e-05 -5.84877396150880e-24 5.06951750481595e-24 -5.88971346020150e-24 5.97819447417639e-24 -3.40808685161006e-23 2.99291381377176e-23 1.00000000110811e+00 1.00780276017737e+00 2.17744964096033e+10 2.17744964096033e+10
776 8.96854725005705e-14 2.53381281881075e-05 6.99999694228778e-05 0.00000000000000e+00 0.00000000000000e+00 5.31151050537650e-11 2.99999993050438e-05 -5.85760993723302e-24 5.63892082160480e-24 -5.88987062476437e-24 5.97963314802236e-24 -3.37394275341489e-23 4.45271633926989e-23 1.00000000269105e+00 1.01328258180276e+00 2.17744964096033e+10 2.17744964096033e+10
784 9.06100650005764e-14 2.53394669349387e-05 6.99999746343329e-05 0.00000000000000e+00 0.00000000000000e+00 2.52869187392095e-11 2.99999765207506e-05 -5.84468186126724e-24 5.77610692988862e-24 -5.88713343726307e-24 5.97770742136232e-24 -3.38746462460601e-23 4.33119960114384e-23 1.00000000046377e+00 1.01259802214930e+00 2.17744964096033e+10 2.17744964096033e+10
792 9.15346575005823e-14 2.53407897764364e-05 6.99997910851968e-05 0.00000000000000e+00 0.00000000000000e+00 2.28373876668860e-11 2.99999808903215e-05 -5.80893267898598e-24 6.20454736357479e-24 -5.88770815548965e-24 5.97725380888800e-24 -5.30750179893265e-23 4.36910978511067e-23 1.00000000014984e+00 1.01880578299410e+00 2.17744964096033e+10 2.17744964096033e+10
800 9.24592500005882e-14 2.53421596622566e-05 6.99999706375520e-05 0.00000000000000e+00 0.00000000000000e+00 2.97850783852722e-11 2.99999646171619e-05 -5.74259307832576e-24 9.08837930492921e-24 -5.88559064060671e-24 5.97807948953564e-24 -5.21746777491800e-23 6.89198315023716e-23 1.00000000223136e+00 1.03173809768502e+00 2.17744964096033e+10 2.17744964096033e+10
808 9.33838425005941e-14 2.53436396671653e-05 6.99998916828457e-05 0.00000000000000e+00 0.00000000000000e+00 5.78772179628033e-12 2.99999663246689e-05 -6.09644357358572e-24 9.41960970300971e-24 -5.88161413024958e-24 5.97584285799296e-24 -5.42961371384700e-23 6.73214109438170e-23 1.00000000017122e+00 1.03022010613552e+00 2.17744964096033e+10 2.17744964096033e+10
816 9.43084350006000e-14 2.53452740268157e-05 6.99999735687420e-05 0.00000000000000e+00 0.00000000000000e+00 1.33268152792015e-11 2.99999683499263e-05 -5.77854064121334e-24 1.21993188609169e-23 -5.87908300203347e-24 5.97711839322253e-24 -8.18861151534019e-23 6.62545755552416e-23 1.00000000255147e+00 1.04455124887164e+00 2.17744964096033e+10 2.17744964096033e+10
824 9.52330275006058e-14 2.53470794796968e-05 6.99999820656006e-05 0.00000000000000e+00 0.00000000000000e+00 1.90554507496245e-11 2.99999875292410e-05 -6.73620929617435e-24 1.77339681929352e-23 -5.88093177279778e-24 5.97848457120630e-24 -8.24562722677645e-23 1.02348889418856e-22 1.00000000077364e+00 1.06968249982069e+00 2.17744964096033e+10 2.17744964096033e+10
832 9.61576200006117e-14 2.53490437087527e-05 6.99999937831687e-05 0.00000000000000e+00 0.00000000000000e+00 3.06982968477911e-12 2.99999808753868e-05 -8.49702429479847e-24 1.77112245691838e-23 -5.88308906337482e-24 5.98273158600352e-24 -9.19182702882701e-23 1.01234577435677e-22 1.00000000019194e+00 1.06802867249756e+00 2.17744964096033e+10 2.17744964096033e+10
840 9.70822125006176e-14 2.53511408799894e-05 6.99999833505570e-05 0.00000000000000e+00 0.00000000000000e+00 2.61234673216287e-11 2.99999701772526e-05 -7.71687896075646e-24 2.47039801246188e-23 -5.88239991597100e-24 5.98089480534711e-24 -1.22464073987059e-22 1.00555084537450e-22 1.00000000061446e+00 1.09943850806202e+00 2.17744964096033e+10 2.17744964096033e+10
848 9.80068050006235e-14 2.53533305920879e-05 6.99999883794945e-05 0.00000000000000e+00 0.00000000000000e+00 3.52697340710519e-11 2.99999459049253e-05 -1.03504713528003e-23 3.59975138674084e-23 -5.87711054234858e-24 5.98195495497464e-24 -1.23896954868025e-22 1.51396207367662e-22 1.00000000154765e+00 1.15097765870023e+00 2.17744964096033e+10 2.17744964096033e+10
856 9.89313975006294e-14 2.53555777367331e-05 6.99999688198529e-05 0.00000000000000e+00 0.00000000000000e+00 2.68060966784522e-11 2.99998760811342e-05 -1.24352192375106e-23 3.55536827640019e-23 -5.87463834972590e-24 5.98369139680950e-24 -1.33657124361973e-22 1.49830777552342e-22 1.00000000212696e+00 1.14690381939811e+00 2.17744964096033e+10 2.17744964096033e+10
864 9.98559900006352e-14 2.53578711043146e-05 6.99999754507782e-05 0.00000000000000e+00 0.00000000000000e+00 6.03847418325461e-11 2.99999998000678e-05 -1.26422298233507e-23 5.07363697200311e-23 -5.87579428287696e-24 5.98478673867765e-24 -1.81959224746441e-22 1.49464742149046e-22 1.00000000356226e+00 1.21438446953378e+00 2.17744964096033e+10 2.17744964096033e+10
872 1.00780582500641e-13 2.53602017094591e-05 6.99999669332379e-05 0.00000000000000e+00 0.00000000000000e+00 4.13621505598775e-11 2.99999261676803e-05 -1.76902060241555e-23 7.56282129342231e-23 -5.87870811044556e-24 5.98440755398298e-24 -1.82724930125953e-22 2.22702986542025e-22 1.00000000239156e+00 1.31975327530697e+00 2.17744964096033e+10 2.17744964096033e+10
880 1.01705175000647e-13 2.53625809296481e-05 6.99999407526897e-05 0.00000000000000e+00 0.00000000000000e+00 5.14468698500865e-11 2.99999914397896e-05 -2.19786358686661e-23 7.07820338733284e-23 -5.88072348645699e-24 5.98408618964491e-24 -1.82260361716883e-22 2.19357667023828e-22 1.00000000028036e+00 1.30859515429475e+00 2.17744964096033e+10 2.17744964096033e+10
888 1.02629767500653e-13 2.53650370340350e-05 6.99999969922643e-05 0.00000000000000e+00 0.00000000000000e+00 6.47861538555959e-12 2.99999981800420e-05 -2.15717528163178e-23 9.99391955565740e-23 -5.88238812614222e-24 5.98457220695348e-24 -2.66956802592822e-22 2.20271203057474e-22 1.00000000079352e+00 1.44374294111289e+00 2.17744964096033e+10 2.17744964096033e+10
896 1.03554360000659e-13 2.53675849699898e-05 6.99999427332412e-05 0.00000000000000e+00 0.00000000000000e+00 2.11599857556709e-11 2.99999837813923e-05 -2.87845053624654e-23 1.29661876921288e-22 -5.88496155466533e-24 5.98581265372351e-24 -2.66038959740893e-22 2.93793383964538e-22 1.00000000088967e+00 1.54048185182060e+00 2.17744964096033e+10 2.17744964096033e+10
904 1.04478952500665e-13 2.53702482150230e-05 6.99998868513671e-05 0.00000000000000e+00 0.00000000000000e+00 4.94385918922008e-11 2.99999986005538e-05 -3.62329424512357e-23 1.39016613765668e-22 -5.88530504885475e-24 5.98440402660811e-24 -2.64121324993504e-22 3.18381454225815e-22 1.00000000227147e+00 1.61811918145864e+00 2.17744964096033e+10 2.17744964096033e+10
912 1.05403545000671e-13 2.53730565592704e-05 6.99999782823577e-05 0.00000000000000e+00 0.00000000000000e+00 3.78751535577569e-11 2.99999619417993e-05 -3.94927741738048e-23 1.95787594942349e-22 -5.88364633496119e-24 5.98111556211953e-24 -3.79390688969410e-22 3.17439774728150e-22 1.00000000367310e+00 1.85275007667958e+00 2.17744964096033e+10 2.17744964096033e+10
920 1.06328137500676e-13 2.53760074629559e-05 6.99999150785103e-05 0.00000000000000e+00 0.00000000000000e+00 8.62192646921764e-12 2.99999934995020e-05 -5.40189361532593e-23 1.87566985695084e-22 -5.88468583243511e-24 5.98041645802331e-24 -3.78409626567315e-22 3.43517469783808e-22 1.00000000128759e+00 1.83984784030619e+00 2.17744964096033e+10 2.17744964096033e+10
928 1.07252730000682e-13 2.53791003497040e-05 6.99998805073814e-05 0.00000000000000e+00 0.00000000000000e+00 2.37727830042916e-11 2.99999826787793e-05 -5.36140136591253e-23 2.53327536864158e-22 -5.88613596681012e-24 5.98216830638447e-24 -3.77810149666111e-22 4.50141506698513e-22 1.00000000297974e+00 2.13302073042936e+00 2.17744964096033e+10 2.17744964096033e+10
936 1.08177322500688e-13 2.53798658148095e-05 6.99998921721335e-05 0.00000000000000e+00 0.00000000000000e+00 2.11478150190735e-11 2.99999828711646e-05 -6.89680807573831e-23 2.74754341926310e-22 -5.88424851703399e-24 5.98440352543746e-24 -4.58534753900459e-22 4.49276565909063e-22 1.00000000419074e+00 2.19359084263150e+00 2.17744964096033e+10 2.17744964096033e+10
944 1.09101915000694e-13 2.53782781157768e-05 6.99999704564613e-05 0.00000000000000e+00 0.00000000000000e+00 8.85662761218120e-12 2.99999201811965e-05 -7.04070388748631e-23 3.30067114565383e-22 -5.88480010403594e-24 5.98015976349210e-24 -5.30196400635159e-22 4.47698124970176e-22 1.00000000033153e+00 2.49365835507845e+00 2.17744964096033e+10 2.17744964096033e+10
952 1.10026507500700e-13 2.53768695235836e-05 6.99999919787359e-05 0.00000000000000e+00 0.00000000000000e+00 4.57241236111747e-13 2.99998719533589e-05 -8.67640931568586e-23 3.87970027036154e-22 -5.88780395107090e-24 5.98115979613017e-24 -5.28454306295728e-22 5.80124391275167e-22 1.00000000208591e+00 2.73436445715558e+00 2.17744964096033e+10 2.17744964096033e+10
960 1.10951100000706e-13 2.53756117387376e-05 6.99999428699097e-05 0.00000000000000e+00 0.00000000000000e+00 5.63217993951290e-11 2.99999910827744e-05 -9.22281068066640e-23 4.20058422944711e-22 -5.88688719161272e-24 5.98017497734615e-24 -5.26511075016955e-22 6.21617161622618e-22 1.00000000642151e+00 2.91208724421061e+00 2.17744964096033e+10 2.17744964096033e+10
968 1.11875692500712e-13 2.53744720295202e-05 6.99999652446871e-05 0.00000000000000e+00 0.00000000000000e+00 4.26629592539805e-11 2.99999022249096e-05 -1.12115276982382e-22 4.92444250589828e-22 -5.88166221760173e-24 5.97834515308039e-24 -6.85493722019709e-22 6.18453532375428e-22 1.00000000130189e+00 3.24196695921631e+00 2.17744964096033e+10 2.17744964096033e+10
976 1.12800285000718e-13 2.53734212291300e-05 6.99999403905937e-05 0.00000000000000e+00 0.00000000000000e+00 2.27377565839313e-11 2.99999985580213e-05 -1.15573374570472e-22 5.29788143694461e-22 -5.88159460673365e-24 5.97780935858287e-24 -7.25809423563758e-22 6.26659478242050e-22 1.00000000010595e+00 3.42836926666220e+00 2.17744964096033e+10 2.17744964096033e+10
984 1.13724877500723e-13 2.53724336919725e-05 6.99999198949764e-05 0.00000000000000e+00 0.00000000000000e+00 6.51282161461309e-13 2.99999984562903e-05 -1.38368613675843e-22 6.33237976884214e-22 -5.88114637127354e-24 5.98055998888680e-24 -7.22266314255208e-22 7.99671054122198e-22 1.00000000482659e+00 3.86666289936248e+00 2.17744964096033e+10 2.17744964096033e+10
992 1.14649470000729e-13 2.53714924777180e-05 6.99999897443924e-05 0.00000000000000e+00 0.00000000000000e+00 3.61829469611995e-11 2.99999905093268e-05 -1.38916629760374e-22 6.52821075733020e-22 -5.88007059169847e-24 5.97964756601658e-24 -7.21035081282365e-22 8.40729520457433e-22 1.00000000197715e+00 4.01779012663787e+00 2.17744964096033e+10 2.17744964096033e+10
1000 1.15574062500735e-13 2.53663933245351e-05 6.99999954440975e-05 0.00000000000000e+00 0.00000000000000e+00 7.19380217592861e-11 2.99999193901211e-05 -1.68906382292500e-22 7.52003645296783e-22 -5.88023210529316e-24 5.98116837922295e-24 -9.12821921939566e-22 8.37333787102715e-22 1.00000000158148e+00 4.44468428118472e+00 2.17744964096033e+10 2.17744964096033e+10
1008 1.16498655000741e-13 2.53501204078129e-05 6.99999803891141e-05 0.00000000000000e+00 0.00000000000000e+00 9.54308109230918e-13 2.99999742438540e-05 -1.71907793648410e-22 7.97804810766900e-22 -5.88516059335512e-24 5.98194337670370e-24 -9.72992211947940e-22 8.35871019192472e-22 1.00000000131256e+00 4.71118140739672e+00 2.17744964096033e+10 2.17744964096033e+10
1016 1.17423247500747e-13 2.53456913672992e-05 6.99999396518935e-05 0.00000000000000e+00 0.00000000000000e+00 5.97462384199689e-11 2.99999969470791e-05 -2.02101337492338e-22 8.96616563034624e-22 -5.88199572101817e-24 5.98235919396501e-24 -9.67466472468921e-22 1.02043445267002e-21 1.00000000265028e+00 5.07360785714241e+00 2.17744964096033e+10 2.17744964096033e+10
1024 1.18347840000753e-13 2.53074743837268e-05 6.99999981111642e-05 0.00000000000000e+00 0.00000000000000e+00 1.33880160866111e-11 2.99999664216788e-05 -2.04708016458731e-22 9.65348812235900e-22 -5.88284685917133e-24 5.98617583175446e-24 -9.65918588423914e-22 1.11728880327323e-21 1.00000000315940e+00 5.49084068510042e+00 2.17744964096033e+10 2.17744964096033e+10
