#[0]step() [1]time(s) [2]xmin(m) [3]xmax(m) [4]ymin(m) [5]ymax(m) [6]zmin(m) [7]zmax(m) [8]pxmin(kg*m/s) [9]pxmax(kg*m/s) [10]pymin(kg*m/s) [11]pymax(kg*m/s) [12]pzmin(kg*m/s) [13]pzmax(kg*m/s) [14]gmin() [15]gmax() [16]wmin(1/m) [17]wmax(1/m)
120 1.38688875000882e-14 2.53960217215959e-05 6.99997609749505e-05 0.00000000000000e+00 0.00000000000000e+00 5.91596611176676e-12 2.99999876955771e-05 -5.44413610238728e-24 5.32249058796914e-24 -5.89712356953957e-24 5.98737828225290e-24 -5.40676737576228e-24 5.93726590711944e-24 1.00000000292592e+00 1.00026677417407e+00 2.17744964096033e+10 2.17744964096033e+10
128 1.47934800000941e-14 2.53930056565028e-05 6.99999015636033e-05 0.00000000000000e+00 0.00000000000000e+00 7.89915285516185e-12 2.99999904596447e-05 -5.44618736601829e-24 5.34882612645923e-24 -5.89349681573419e-24 5.98762556124016e-24 -5.41377252509746e-24 6.02161555612039e-24 1.00000000127584e+00 1.00026739158371e+00 2.17744964096033e+10 2.17744964096033e+10
136 1.57180725001000e-14 2.53900832022346e-05 6.99999083674945e-05 0.00000000000000e+00 0.00000000000000e+00 2.52878585550677e-11 2.99999810765991e-05 -5.50997074774503e-24 5.34671443310314e-24 -5.88408235421547e-24 5.98879399496771e-24 -5.41895608532511e-24 6.05728885029429e-24 1.00000000396211e+00 1.00026711579221e+00 2.17744964096033e+10 2.17744964096033e+10
144 1.66426650001058e-14 2.53872514744042e-05 6.99999419764422e-05 0.00000000000000e+00 0.00000000000000e+00 8.88237271549300e-13 2.99999716767036e-05 -5.51773874405010e-24 5.31124460478927e-24 -5.87764393909602e-24 5.98783441067483e-24 -5.41394556273418e-24 6.03353633430285e-24 1.00000000335352e+00 1.00026635162160e+00 2.17744964096033e+10 2.17744964096033e+10
152 1.75672575001117e-14 2.53845082137190e-05 6.99998948500519e-05 0.00000000000000e+00 0.00000000000000e+00 2.53974078164129e-11 2.99999867913958e-05 -5.47499504558090e-24 5.25904105375592e-24 -5.87612042498638e-24 5.98636363965411e-24 -5.39415197144903e-24 5.94953689739577e-24 1.00000000172660e+00 1.00026498491692e+00 2.17744964096033e+10 2.17744964096033e+10
160 1.84918500001176e-14 2.53818544439029e-05 6.99997227758809e-05 0.00000000000000e+00 0.00000000000000e+00 3.21840214662127e-11 2.99999833558048e-05 -5.43165021344052e-24 5.18845436672775e-24 -5.87467864963686e-24 5.98475717254314e-24 -5.35455981073117e-24 5.81144388584923e-24 1.00000000017389e+00 1.00026315777632e+00 2.17744964096033e+10 2.17744964096033e+10
168 1.94164425001235e-14 2.53792908719403e-05 6.99999172560322e-05 0.00000000000000e+00 0.00000000000000e+00 3.48994707780178e-11 2.99999985814209e-05 -5.39635444674611e-24 5.11425959108545e-24 -5.87439653559986e-24 5.98364832975527e-24 -5.29527038674848e-24 5.63520562507120e-24 1.00000000075587e+00 1.00026114147784e+00 2.17744964096033e+10 2.17744964096033e+10
176 2.03410350001294e-14 2.53768191087311e-05 6.99999922092719e-05 0.00000000000000e+00 0.00000000000000e+00 1.32702807237675e-11 2.99999976850712e-05 -5.35679612893224e-24 5.04497522076948e-24 -5.87650547493065e-24 5.98213475031243e-24 -5.21392555827022e-24 5.50291408534948e-24 1.00000000304141e+00 1.00025893908942e+00 2.17744964096033e+10 2.17744964096033e+10
184 2.12656275001352e-14 2.53744436103324e-05 6.99999267166925e-05 0.00000000000000e+00 0.00000000000000e+00 1.38357739828610e-11 2.99999710516444e-05 -5.32522308034797e-24 4.98835656033894e-24 -5.87605949772356e-24 5.98224763289592e-24 -5.11558477190869e-24 5.56995780489944e-24 1.00000000119747e+00 1.00025779395867e+00 2.17744964096033e+10 2.17744964096033e+10
192 2.21902200001411e-14 2.53721684500260e-05 6.99999949510352e-05 0.00000000000000e+00 0.00000000000000e+00 1.61871391289627e-11 2.99999806780740e-05 -5.31497385039887e-24 4.97237143267556e-24 -5.87360648151678e-24 5.97863053757920e-24 -5.02154998022867e-24 5.63520727429330e-24 1.00000000215595e+00 1.00025768420199e+00 2.17744964096033e+10 2.17744964096033e+10
