#[0]step() [1]time(s) [2]total_lev0(J) [3]E_lev0(J) [4]B_lev0(J)
544 6.28722900004000e-14 5.91804943622205e+05 3.02349770921745e+05 2.89455172700459e+05
552 6.37968825004058e-14 6.07408278542021e+05 3.07667218467783e+05 2.99741060074238e+05
560 6.47214750004117e-14 6.43430333896682e+05 3.25706968870522e+05 3.17723365026161e+05
568 6.56460675004176e-14 6.75360859016345e+05 3.44233022701549e+05 3.31127836314796e+05
576 6.65706600004235e-14 6.88822600697767e+05 3.49362742868813e+05 3.39459857828953e+05
584 6.74952525004294e-14 7.16572127759196e+05 3.62076074358835e+05 3.54496053400361e+05
592 6.84198450004352e-14 7.49260886104907e+05 3.80798641146824e+05 3.68462244958083e+05
600 6.93444375004411e-14 7.62778406903687e+05 3.87103676041554e+05 3.75674730862133e+05
608 7.02690300004470e-14 7.81871634051164e+05 3.94855970371248e+05 3.87015663679916e+05
616 7.11936225004529e-14 8.11468875639412e+05 4.11286525046652e+05 4.00182350592760e+05
624 7.21182150004588e-14 8.25980989376819e+05 4.19062399467249e+05 4.06918589909570e+05
632 7.30428075004647e-14 8.38089273224211e+05 4.23331307486319e+05 4.14757965737893e+05
640 7.39674000004705e-14 8.61754278951335e+05 4.35854567117922e+05 4.25899711833413e+05
648 7.48919925004764e-14 8.76723638725356e+05 4.44381701784880e+05 4.32341936940476e+05
656 7.58165850004823e-14 8.84378146060013e+05 4.46892146994813e+05 4.37485999065200e+05
664 7.67411775004882e-14 9.01083781058251e+05 4.55154599369638e+05 4.45929181688613e+05
672 7.76657700004941e-14 9.15094910263310e+05 4.63245612410360e+05 4.51849297852949e+05
680 7.85903625005000e-14 9.20513124369293e+05 4.65262105564446e+05 4.55251018804847e+05
688 7.95149550005058e-14 9.30942674510381e+05 4.69954785963264e+05 4.60987888547117e+05
696 8.04395475005117e-14 9.42599235162211e+05 4.76594047568468e+05 4.66005187593743e+05
704 8.13641400005176e-14 9.47075077456071e+05 4.78661493585236e+05 4.68413583870835e+05
712 8.22887325005235e-14 9.52888077210741e+05 4.80957945170496e+05 4.71930132040245e+05
720 8.32133250005294e-14 9.61458090289595e+05 4.85682529014281e+05 4.75775561275314e+05
728 8.41379175005352e-14 9.65396189710616e+05 4.87781611832093e+05 4.77614577878523e+05
736 8.50625100005411e-14 9.68384992071116e+05 4.88793797016466e+05 4.79591195054650e+05
744 8.59871025005470e-14 9.73945477687036e+05 4.91709600380113e+05 4.82235877306923e+05
752 8.69116950005529e-14 9.77259935657114e+05 4.93589041128467e+05 4.83670894528647e+05
760 8.78362875005588e-14 9.78798849245785e+05 4.94071775214038e+05 4.84727074031747e+05
768 8.87608800005647e-14 9.81981909891203e+05 4.95626288158796e+05 4.86355621732407e+05
776 8.96854725005705e-14 9.84506392157792e+05 4.97076768485939e+05 4.87429623671853e+05
784 9.06100650005764e-14 9.85400664970265e+05 4.97400938591620e+05 4.87999726378645e+05
792 9.15346575005823e-14 9.87010905176900e+05 4.98112135134998e+05 4.88898770041903e+05
800 9.24592500005882e-14 9.88717489506623e+05 4.99078183236622e+05 4.89639306270002e+05
808 9.33838425005941e-14 9.89325827834981e+05 4.99356410232879e+05 4.89969417602103e+05
816 9.43084350006000e-14 9.90052637115679e+05 4.99635625047883e+05 4.90417012067795e+05
824 9.52330275006058e-14 9.91071175269877e+05 5.00192531869807e+05 4.90878643400070e+05
832 9.61576200006117e-14 9.91510174715918e+05 5.00425324873566e+05 4.91084849842352e+05
840 9.70822125006176e-14 9.91813017895485e+05 5.00524286914025e+05 4.91288730981459e+05
848 9.80068050006235e-14 9.92348959111666e+05 5.00801914450848e+05 4.91547044660817e+05
856 9.89313975006294e-14 9.92650536244482e+05 5.00971590561812e+05 4.91678945682670e+05
864 9.98559900006352e-14 9.92777395088537e+05 5.01011330745010e+05 4.91766064343527e+05
872 1.00780582500641e-13 9.93025795639216e+05 5.01130370365275e+05 4.91895425273940e+05
880 1.01705175000647e-13 9.93212641799013e+05 5.01235072833415e+05 4.91977568965598e+05
888 1.02629767500653e-13 9.93272851382488e+05 5.01259754590856e+05 4.92013096791632e+05
896 1.03554360000659e-13 9.93374243646615e+05 5.01303854362718e+05 4.92070389283897e+05
904 1.04478952500665e-13 9.93476496740690e+05 5.01356715729708e+05 4.92119781010982e+05
912 1.05403545000671e-13 9.93509699441635e+05 5.01376384046116e+05 4.92133315395519e+05
920 1.06328137500676e-13 9.93546262157241e+05 5.01392941793512e+05 4.92153320363729e+05
928 1.07252730000682e-13 9.93594768417273e+05 5.01411651650488e+05 4.92183116766785e+05
936 1.08177322500688e-13 9.93613953764944e+05 5.01424917281492e+05 4.92189036483453e+05
944 1.09101915000694e-13 9.93625055412024e+05 5.01437359610548e+05 4.92187695801476e+05
952 1.10026507500700e-13 9.93644749231081e+05 5.01436720371157e+05 4.92208028859925e+05
960 1.10951100000706e-13 9.93653994997585e+05 5.01441072733399e+05 4.92212922264186e+05
968 1.11875692500712e-13 9.93656682418332e+05 5.01457463915741e+05 4.92199218502591e+05
976 1.12800285000718e-13 9.93661900068583e+05 5.01450201089957e+05 4.92211698978625e+05
984 1.13724877500723e-13 9.93665094071296e+05 5.01442620701598e+05 4.92222473369698e+05
992 1.14649470000729e-13 9.93664048038630e+05 5.01463721680298e+05 4.92200326358332e+05
1000 1.15574062500735e-13 9.93663846805205e+05 5.01459574330364e+05 4.92204272474841e+05
1008 1.16498655000741e-13 9.93662196684152e+05 5.01440225348395e+05 4.92221971335757e+05
1016 1.17423247500747e-13 9.93660217954192e+05 5.01460527625224e+05 4.92199690328968e+05
1024 1.18347840000753e-13 9.93656792795364e+05 5.01466353619510e+05 4.92190439175853e+05
1032 1.19272432500759e-13 9.93653624301182e+05 5.01439347912998e+05 4.92214276388184e+05
1040 1.20197025000765e-13 9.93649684894742e+05 5.01452458186323e+05 4.92197226708418e+05
1048 1.21121617500771e-13 9.93645881962348e+05 5.01469129902257e+05 4.92176752060091e+05
1056 1.22046210000776e-13 9.93641097378666e+05 5.01441984549041e+05 4.92199112829626e+05
1064 1.22970802500782e-13 9.93636322681253e+05 5.01443480529727e+05 4.92192842151527e+05
1072 1.23895395000788e-13 9.93632352165585e+05 5.01467155067053e+05 4.92165197098531e+05
1080 1.24819987500794e-13 9.93626639688633e+05 5.01447373386763e+05 4.92179266301870e+05
1088 1.25744580000800e-13 9.93622059642701e+05 5.01438184857994e+05 4.92183874784707e+05
1096 1.26669172500806e-13 9.93616827463296e+05 5.01461601070690e+05 4.92155226392606e+05
1104 1.27593765000812e-13 9.93611564817929e+05 5.01452001413090e+05 4.92159563404838e+05
1112 1.28518357500818e-13 9.93606247711857e+05 5.01437125326812e+05 4.92169122385045e+05
1120 1.29442950000823e-13 9.93600733286021e+05 5.01454703655299e+05 4.92146029630722e+05
1128 1.30367542500829e-13 9.93595682101839e+05 5.01454908670615e+05 4.92140773431224e+05
1136 1.31292135000835e-13 9.93589642860102e+05 5.01439203036311e+05 4.92150439823791e+05
1144 1.32216727500841e-13 9.93584391314575e+05 5.01449403398237e+05 4.92134987916337e+05
1152 1.33141320000847e-13 9.93579280111644e+05 5.01455543661321e+05 4.92123736450323e+05
1160 1.34065912500853e-13 9.93572479761954e+05 5.01443044878856e+05 4.92129434883098e+05
1168 1.34990505000859e-13 9.93568120313015e+05 5.01446676586439e+05 4.92121443726576e+05
1176 1.35915097500865e-13 9.93561977986030e+05 5.01455252230602e+05 4.92106725755428e+05
1184 1.36839690000871e-13 9.93556108543335e+05 5.01447073783389e+05 4.92109034759946e+05
1192 1.37764282500876e-13 9.93550464676212e+05 5.01445701736122e+05 4.92104762940090e+05
