#[0]step() [1]time(s) [2]total_lev0(J) [3]E_lev0(J) [4]B_lev0(J)
2368 2.73679380001731e-13 9.56007209469377e+05 4.82693880543379e+05 4.73313328925998e+05
2376 2.74603972501737e-13 9.47396782216399e+05 4.78401915088366e+05 4.68994867128034e+05
2384 2.75528565001742e-13 9.39463222103735e+05 4.74682453840890e+05 4.64780768262844e+05
2392 2.76453157501748e-13 9.34310052815358e+05 4.71869198551562e+05 4.62440854263796e+05
2400 2.77377750001754e-13 9.22964308418052e+05 4.65999619724595e+05 4.56964688693457e+05
2408 2.78302342501759e-13 9.10544210330360e+05 4.60142040952808e+05 4.50402169377551e+05
2416 2.79226935001765e-13 9.03407339185131e+05 4.56488429703724e+05 4.46918909481407e+05
2424 2.80151527501771e-13 8.89726862234040e+05 4.49198844223279e+05 4.40528018010761e+05
2432 2.81076120001776e-13 8.71745671886852e+05 4.40517305643496e+05 4.31228366243355e+05
2440 2.82000712501782e-13 8.61436245213718e+05 4.35558211754605e+05 4.25878033459113e+05
2448 2.82925305001788e-13 8.46249549954350e+05 4.27334840351646e+05 4.18914709602704e+05
2456 2.83849897501794e-13 8.22442049198622e+05 4.15503022135852e+05 4.06939027062770e+05
2464 2.84774490001799e-13 8.07313171175099e+05 4.08445234535472e+05 3.98867936639627e+05
2472 2.85699082501805e-13 7.91452209655619e+05 3.99890720971121e+05 3.91561488684498e+05
2480 2.86623675001811e-13 7.62852240622444e+05 3.85268879554275e+05 3.77583361068169e+05
2488 2.87548267501816e-13 7.41331069112411e+05 3.75213126401360e+05 3.66117942711051e+05
2496 2.88472860001822e-13 7.25078273781403e+05 3.66699241275270e+05 3.58379032506132e+05
2504 2.89397452501828e-13 6.93993287190901e+05 3.50414922063170e+05 3.43578365127731e+05
2512 2.90322045001833e-13 6.65400669228288e+05 3.36792569587709e+05 3.28608099640578e+05
2520 2.91246637501839e-13 6.48127631077243e+05 3.28177993706204e+05 3.19949637371038e+05
2528 2.92171230001845e-13 6.17509817155656e+05 3.11838812205497e+05 3.05671004950160e+05
2536 2.93095822501850e-13 5.82790057128780e+05 2.94867091969179e+05 2.87922965159601e+05
2544 2.94020415001856e-13 5.63209569311205e+05 2.85530089586643e+05 2.77679479724562e+05
2552 2.94945007501862e-13 5.35603012175887e+05 2.70663471028043e+05 2.64939541147844e+05
2560 2.95869600001867e-13 4.97476780488598e+05 2.51536806154259e+05 2.45939974334340e+05
2568 2.96794192501873e-13 4.74442993415780e+05 2.40753843789157e+05 2.33689149626623e+05
2576 2.97718785001879e-13 4.51113859329318e+05 2.28267819461414e+05 2.22846039867904e+05
2584 2.98643377501884e-13 4.13430547819850e+05 2.08904717233318e+05 2.04525830586532e+05
2592 2.99567970001890e-13 3.86808980722398e+05 1.96360172937389e+05 1.90448807785009e+05
2600 3.00492562501896e-13 3.67478835942719e+05 1.86289000691584e+05 1.81189835251136e+05
2608 3.01417155001901e-13 3.33987911183059e+05 1.68717088314771e+05 1.65270822868289e+05
2616 3.02341747501907e-13 3.05120280095151e+05 1.54835619743421e+05 1.50284660351729e+05
2624 3.03266340001913e-13 2.88490612005397e+05 1.46554044899607e+05 1.41936567105790e+05
2632 3.04190932501918e-13 2.61644241303521e+05 1.32234921455958e+05 1.29409319847563e+05
2640 3.05115525001924e-13 2.33033883071000e+05 1.18132648737211e+05 1.14901234333789e+05
2648 3.06040117501930e-13 2.17694591457887e+05 1.10798137567331e+05 1.06896453890556e+05
2656 3.06964710001936e-13 1.98077078121524e+05 1.00253567932263e+05 9.78235101892610e+04
2664 3.07889302501941e-13 1.72497192473484e+05 8.73280729641017e+04 8.51691195093823e+04
2672 3.08813895001947e-13 1.57721420316575e+05 8.03672604917052e+04 7.73541598248700e+04
2680 3.09738487501953e-13 1.44315193923180e+05 7.32188104049295e+04 7.10963835182509e+04
2688 3.10663080001958e-13 1.23829039823747e+05 6.26202918471294e+04 6.12087479766178e+04
2696 3.11587672501964e-13 1.09793137047041e+05 5.59477153014214e+04 5.38454217456198e+04
2704 3.12512265001970e-13 1.00759144605479e+05 5.12754348293249e+04 4.94837097761546e+04
2712 3.13436857501975e-13 8.61518641069667e+04 4.35567001483913e+04 4.25951639585754e+04
2720 3.14361450001981e-13 7.36635657060534e+04 3.74861069382225e+04 3.61774587678309e+04
2728 3.15286042501987e-13 6.71942466925285e+04 3.42979130591266e+04 3.28963336334020e+04
2736 3.16210635001992e-13 5.79638597199698e+04 2.93416945503103e+04 2.86221651696594e+04
2744 3.17135227501998e-13 4.79020671365356e+04 2.43135319418188e+04 2.35885351947168e+04
2752 3.18059820002004e-13 4.27341170684841e+04 2.18607810010197e+04 2.08733360674644e+04
2760 3.18984412502009e-13 3.75285979867086e+04 1.90618458391084e+04 1.84667521476001e+04
2768 3.19909005002015e-13 3.04179666086859e+04 1.53983279535493e+04 1.50196386551366e+04
2776 3.20833597502021e-13 2.60062043517224e+04 1.33052337027961e+04 1.27009706489262e+04
2784 3.21758190002026e-13 2.31860439163521e+04 1.18444796373342e+04 1.13415642790178e+04
2792 3.22682782502032e-13 1.89649766105494e+04 9.60097157032670e+03 9.36400504022268e+03
2800 3.23607375002038e-13 1.53718852154910e+04 7.83801632708847e+03 7.53386888840249e+03
2808 3.24531967502043e-13 1.35182362526981e+04 6.94822629202442e+03 6.57000996067366e+03
2816 3.25456560002049e-13 1.14930589438859e+04 5.85486712315411e+03 5.63819182073175e+03
2824 3.26381152502055e-13 9.05152123544281e+03 4.59110416182458e+03 4.46041707361823e+03
2832 3.27305745002061e-13 7.40840552017728e+03 3.80636195542659e+03 3.60204356475069e+03
2840 3.28230337502066e-13 6.38414147883097e+03 3.29177840162336e+03 3.09236307720760e+03
2848 3.29154930002072e-13 5.12228552488055e+03 2.60888156199486e+03 2.51340396288569e+03
2856 3.30079522502078e-13 3.94845874346684e+03 2.03325394709934e+03 1.91520479636751e+03
2864 3.31004115002083e-13 3.43826347168990e+03 1.77200934362126e+03 1.66625412806864e+03
2872 3.31928707502089e-13 2.72494135517136e+03 1.39412585686611e+03 1.33081549830526e+03
2880 3.32853300002095e-13 2.06616912957447e+03 1.06152630421396e+03 1.00464282536051e+03
2888 3.33777892502100e-13 1.79837979854032e+03 9.21597178690471e+02 8.76782619849853e+02
2896 3.34702485002106e-13 1.44644041004217e+03 7.43211556392997e+02 7.03228853649178e+02
2904 3.35627077502112e-13 1.08288348036673e+03 5.57569143408602e+02 5.25314336958123e+02
2912 3.36551670002117e-13 9.21349872587517e+02 4.74137995911639e+02 4.47211876675877e+02
2920 3.37476262502123e-13 7.72773675664287e+02 4.03875268816647e+02 3.68898406847641e+02
2928 3.38400855002129e-13 5.89538252770021e+02 3.14358624959757e+02 2.75179627810264e+02
2936 3.39325447502134e-13 4.98108760472311e+02 2.69020164303626e+02 2.29088596168685e+02
2944 3.40250040002140e-13 4.42560901582776e+02 2.45565142680087e+02 1.96995758902689e+02
2952 3.41174632502146e-13 3.61922186140009e+02 2.10399534288429e+02 1.51522651851581e+02
2960 3.42099225002151e-13 3.10939850844635e+02 1.84940669973170e+02 1.25999180871465e+02
2968 3.43023817502157e-13 2.88252470907904e+02 1.77542325964380e+02 1.10710144943524e+02
2976 3.43948410002163e-13 2.55315580953162e+02 1.63507810260918e+02 9.18077706922443e+01
2984 3.44873002502168e-13 2.27599525286898e+02 1.50288932766903e+02 7.73105925199947e+01
2992 3.45797595002174e-13 2.16387198578668e+02 1.44605614623853e+02 7.17815839548150e+01
3000 3.46722187502180e-13 2.03638995337867e+02 1.38986704241056e+02 6.46522910968108e+01
3008 3.47646780002185e-13 1.90041765206607e+02 1.31124097601461e+02 5.89176676051460e+01
3016 3.48571372502191e-13 1.84407655954752e+02 1.27878887337912e+02 5.65287686168405e+01
3024 3.49495965002197e-13 1.80551548025117e+02 1.26166611431109e+02 5.43849365940083e+01
