#[0]step() [1]time(s) [2]total_x(kg*m/s) [3]total_y(kg*m/s) [4]total_z(kg*m/s) [5]ele_x(kg*m/s) [6]ele_y(kg*m/s) [7]ele_z(kg*m/s) [8]ion_x(kg*m/s) [9]ion_y(kg*m/s) [10]ion_z(kg*m/s) [11]total_mean_x(kg*m/s) [12]total_mean_y(kg*m/s) [13]total_mean_z(kg*m/s) [14]ele_mean_x(kg*m/s) [15]ele_mean_y(kg*m/s) [16]ele_mean_z(kg*m/s) [17]ion_mean_x(kg*m/s) [18]ion_mean_y(kg*m/s) [19]ion_mean_z(kg*m/s)
440 5.08525875003235e-14 -1.55845593504209e-11 5.38290432155855e-11 -3.18880200029895e-11 -3.41272709545383e-14 4.31186362981359e-11 -2.73997731294440e-11 -1.55504320794663e-11 1.07104069174496e-11 -4.48824687354548e-12 -3.34613407420670e-28 1.15575417716736e-27 -6.84662221701548e-28 -1.46548159152901e-30 1.85158572541381e-27 -1.17659168196488e-27 -6.67761333249810e-28 4.59922628920906e-28 -1.92732761438219e-28
448 5.17771800003294e-14 -1.58306475257162e-11 5.38298954946241e-11 -3.24357656799564e-11 -4.66912261247527e-13 4.76531174163429e-11 -2.86470654455926e-11 -1.53637352644687e-11 6.17677807828120e-12 -3.78870023436378e-12 -3.39897124528738e-28 1.15577247630478e-27 -6.96422775416843e-28 -2.00499865526587e-29 2.04630386196567e-27 -1.23015248180165e-27 -6.59744262504816e-28 2.65241090643881e-28 -1.62693069032037e-28
456 5.27017725003352e-14 -1.67719465837237e-11 5.38270937646091e-11 -3.28673760227817e-11 -1.55773662193539e-12 4.98498349807474e-11 -2.84523801880045e-11 -1.52142099617883e-11 3.97725878386172e-12 -4.41499583477724e-12 -3.60107595554549e-28 1.15571232083898e-27 -7.05689807242602e-28 -6.68917929868435e-29 2.14063455593507e-27 -1.22179237408845e-27 -6.53323398122255e-28 1.70790085742888e-28 -1.89587240396756e-28
464 5.36263650003411e-14 -1.75369571666056e-11 5.38290683286636e-11 -3.31551536408573e-11 -2.40346412967162e-12 4.96656711707138e-11 -2.68065262921371e-11 -1.51334930369340e-11 4.16339715794985e-12 -6.34862734872015e-12 -3.76533006892476e-28 1.15575471636596e-27 -7.11868631243877e-28 -1.03208734229762e-28 2.13272625662249e-27 -1.15111667927673e-27 -6.49857279555190e-28 1.78783176109436e-28 -2.72620583211027e-28
472 5.45509575003470e-14 -1.79417557134786e-11 5.38293878515718e-11 -3.33079775927277e-11 -2.78970070440029e-12 4.71137895719685e-11 -2.37955365871016e-11 -1.51520550090783e-11 6.71559827960330e-12 -9.51244100562614e-12 -3.85224367234626e-28 1.15576157678766e-27 -7.15149888167543e-28 -1.19794373057845e-28 2.02314423022182e-27 -1.02181978967512e-27 -6.50654361411406e-28 2.88378923353487e-28 -4.08479986659964e-28
480 5.54755500003529e-14 -1.83223411309738e-11 5.38272918196910e-11 -3.33318567586636e-11 -3.02258309918404e-12 4.22436263716490e-11 -1.95561200961205e-11 -1.52997580317897e-11 1.15836654480421e-11 -1.37757366625431e-11 -3.93395851618573e-28 1.15571657324576e-27 -7.15662593653820e-28 -1.29794729166056e-28 1.81401134856487e-27 -8.39772217379247e-28 -6.56996974071091e-28 4.97421797926645e-28 -5.91552969928394e-28
488 5.64001425003588e-14 -1.88897258797211e-11 5.38314983241622e-11 -3.32531126085561e-11 -3.29250595877887e-12 3.52879228553565e-11 -1.42433385781294e-11 -1.55972199209423e-11 1.85435754688057e-11 -1.90097740304267e-11 -4.05578072483981e-28 1.15580689038356e-27 -7.13971891479350e-28 -1.41385664239535e-28 1.51532190829761e-27 -6.11632571381677e-28 -6.69770480728426e-28 7.96291872469508e-28 -8.16311211577024e-28
496 5.73247350003647e-14 -1.91659185486033e-11 5.38319833841021e-11 -3.30782821376254e-11 -3.12380206982566e-12 2.66031176651219e-11 -8.13482505004771e-12 -1.60421164787777e-11 2.72288657189802e-11 -2.49434570875777e-11 -4.11508158023216e-28 1.15581730502254e-27 -7.10218136350079e-28 -1.34141239567852e-28 1.14238197561859e-27 -3.49322873693438e-28 -6.88875076478580e-28 1.16925263442649e-27 -1.07111339900672e-27
504 5.82493275003705e-14 -1.93916816114897e-11 5.38317253153511e-11 -3.28386712626414e-11 -2.74761690661678e-12 1.66146543925480e-11 -1.57284544454189e-12 -1.66440647048729e-11 3.72170709228031e-11 -3.12658258180995e-11 -4.16355478120213e-28 1.15581176407254e-27 -7.05073492248783e-28 -1.17987225013821e-28 7.13460803658479e-28 -6.75405908772169e-29 -7.14723731226604e-28 1.59816272448660e-27 -1.34260639362035e-27
512 5.91739200003764e-14 -1.95599904377191e-11 5.38239764086775e-11 -3.25660259253326e-11 -2.17653680469436e-12 5.81086576718898e-12 5.07810677136082e-12 -1.73834536330248e-11 4.80131106414886e-11 -3.76441326966935e-11 -4.19969208131904e-28 1.15564538862313e-27 -6.99219570858841e-28 -9.34640986914538e-29 2.49528209390241e-28 2.18062323329678e-28 -7.46474317572354e-28 2.06176256785601e-27 -1.61650146504736e-27
520 6.00985125003823e-14 -1.96379546363289e-11 5.38320463079583e-11 -3.22614805080215e-11 -1.41471210211233e-12 -5.17630567950927e-12 1.15188597532337e-11 -1.82232425342166e-11 5.90083519874676e-11 -4.37803402612552e-11 -4.21643164101210e-28 1.15581865604989e-27 -6.92680728309014e-28 -6.07500829972817e-29 -2.22279147241309e-28 4.94638933955645e-28 -7.82536245205139e-28 2.53391645934109e-27 -1.88000039057367e-27
528 6.10231050003882e-14 -1.96818530095877e-11 5.38324606738159e-11 -3.19615326530783e-11 -5.37515118783095e-13 -1.57690179409077e-11 1.74037161413715e-11 -1.91443378908046e-11 6.96014786147236e-11 -4.93652487944499e-11 -4.22585698562791e-28 1.15582755282832e-27 -6.86240599234185e-28 -2.30817903017938e-29 -6.77147772515277e-28 7.47344423272277e-28 -8.22089606823789e-28 2.98880287817192e-27 -2.11982562174065e-27
536 6.19476975003941e-14 -1.95998985790934e-11 5.38205224781463e-11 -3.16610212440141e-11 5.00985639613124e-13 -2.54417368180012e-11 2.24106453512362e-11 -2.01008842187065e-11 7.92622592961475e-11 -5.40716665952503e-11 -4.20826069007390e-28 1.15557122987163e-27 -6.79788370185241e-28 2.15131539070745e-29 -1.09251035668729e-27 9.62350264112000e-28 -8.63165291921855e-28 3.40365281643055e-27 -2.32192700448248e-27
544 6.28722900004000e-14 -1.95474224715089e-11 5.38286584271911e-11 -3.13882402732666e-11 1.49658676108663e-12 -3.36793074340919e-11 2.63470321512497e-11 -2.10440092325956e-11 8.75079658612830e-11 -5.77352724245163e-11 -4.19699363479682e-28 1.15574591544158e-27 -6.73931536632943e-28 6.42659165867704e-29 -1.44624529531987e-27 1.13138523911021e-27 -9.03664643546135e-28 3.75773712620303e-27 -2.47924831237609e-27
552 6.37968825004058e-14 -1.98091382488115e-11 5.38336838029101e-11 -3.11636269973116e-11 2.09863523488716e-12 -4.02004487217298e-11 2.90792898068305e-11 -2.19077734836987e-11 9.40341325246399e-11 -6.02429168041421e-11 -4.25318618156691e-28 1.15585381442384e-27 -6.69108903414428e-28 9.01188761374515e-29 -1.72627391306442e-27 1.24871291242173e-27 -9.40756112450833e-28 4.03798154191210e-27 -2.58693071925059e-27
560 6.47214750004117e-14 -1.96454787020837e-11 5.38305172987805e-11 -3.09752318098664e-11 3.03846102463793e-12 -4.47290006955946e-11 3.04623649261564e-11 -2.26839397267216e-11 9.85595179943751e-11 -6.14375967360228e-11 -4.21804712029724e-28 1.15578582695543e-27 -6.65063902577689e-28 1.30476553607727e-28 -1.92073744232881e-27 1.30810445092986e-27 -9.74085977667175e-28 4.23230909623967e-27 -2.63823225608524e-27
568 6.56460675004176e-14 -1.96771580743274e-11 5.38383457398450e-11 -3.08565489902075e-11 3.64726266571797e-12 -4.70718002370529e-11 3.03597743127944e-11 -2.33244207400454e-11 1.00910145976898e-10 -6.12163233030019e-11 -4.22484894411084e-28 1.15595391007415e-27 -6.62515684062463e-28 1.56619505356900e-28 -2.02134113856995e-27 1.30369903991573e-27 -1.00158929417907e-27 4.33324895871825e-27 -2.62873040804065e-27
576 6.65706600004235e-14 -1.98277131997843e-11 5.38273504142573e-11 -3.08026270659704e-11 3.96723163630948e-12 -4.71888334623831e-11 2.88295823072333e-11 -2.37949448360938e-11 1.01016183876640e-10 -5.96322093732037e-11 -4.25717437751004e-28 1.15571783131967e-27 -6.61357935652774e-28 1.70359503403828e-28 -2.02636673928520e-27 1.23799005841990e-27 -1.02179437890584e-27 4.33780240192453e-27 -2.56070592972545e-27
584 6.74952525004294e-14 -1.99673044160294e-11 5.38278106460794e-11 -3.08212442268509e-11 4.11145333165900e-12 -4.50669316697058e-11 2.59920594625932e-11 -2.40787577476884e-11 9.88947423157852e-11 -5.68133036894441e-11 -4.28714576872072e-28 1.15572771287838e-27 -6.61757661528795e-28 1.76552622095193e-28 -1.93524875858456e-27 1.11614212337984e-27 -1.03398177583934e-27 4.24670418434132e-27 -2.43965744643743e-27
592 6.84198450004352e-14 -2.02969708543995e-11 5.38247564684208e-11 -3.09125822057107e-11 3.87829516754958e-12 -4.08120859865659e-11 2.19272152886233e-11 -2.41752660219491e-11 9.46368424549867e-11 -5.28397974943340e-11 -4.35792788567053e-28 1.15566213715241e-27 -6.63718763645702e-28 1.66540423994963e-28 -1.75253863119862e-27 9.41590975785235e-28 -1.03812600112907e-27 4.06386290550345e-27 -2.26902850307664e-27
600 6.93444375004411e-14 -2.10160328110540e-11 5.38339900381551e-11 -3.10721330050300e-11 3.06258681387810e-12 -3.47068943769051e-11 1.67805592583085e-11 -2.40786196249321e-11 8.85408844150602e-11 -4.78526922633385e-11 -4.51231644812687e-28 1.15586038954839e-27 -6.67144451560034e-28 1.31512554993823e-28 -1.49037158219451e-27 7.20585033634003e-28 -1.03397584461920e-27 3.80209236129129e-27 -2.05487393675407e-27
608 7.02690300004470e-14 -2.15065641634518e-11 5.38366597494980e-11 -3.12994032919826e-11 2.32569770820188e-12 -2.71003473376397e-11 1.07704439287166e-11 -2.38322618716537e-11 8.09370070871377e-11 -4.20698472206993e-11 -4.61763759554070e-28 1.15591771046387e-27 -6.72024133007084e-28 9.98693151694223e-29 -1.16373384207188e-27 4.62500717715039e-28 -1.02339683427756e-27 3.47556926299962e-27 -1.80654898372921e-27
616 7.11936225004529e-14 -2.23128060165090e-11 5.38209917608561e-11 -3.15779553983217e-11 1.15749586704851e-12 -1.83484238630464e-11 4.15542107747993e-12 -2.34703018835575e-11 7.21694156239025e-11 -3.57333764758016e-11 -4.79074440439592e-28 1.15558130576040e-27 -6.78004877624275e-28 4.97047914464114e-29 -7.87911738992721e-28 1.78440669991183e-28 -1.00785367232560e-27 3.09907435051352e-27 -1.53445042523973e-27
624 7.21182150004588e-14 -2.31287970165350e-11 5.38286524193169e-11 -3.18993227204139e-11 -9.39208542675715e-14 -8.86818696645126e-12 -2.74723354327735e-12 -2.30348761622674e-11 6.26968393857682e-11 -2.91520891771365e-11 -4.96594443591681e-28 1.15574578644754e-27 -6.84904900413563e-28 -4.03311718575906e-30 -3.80814650163040e-28 -1.17970762756480e-28 -9.89155769997602e-28 2.69230622305811e-27 -1.25183903807065e-27
632 7.30428075004647e-14 -2.41313718815862e-11 5.38249090770406e-11 -3.22434864056237e-11 -1.54910933884907e-12 9.60084857368689e-13 -9.61196609964550e-12 -2.25822625427372e-11 5.28648242196719e-11 -2.26315203059782e-11 -5.18120556986735e-28 1.15566541378598e-27 -6.92294380015076e-28 -6.65213231486674e-29 4.12276354195986e-29 -4.12753759191463e-28 -9.69719790824804e-28 2.27010319215236e-27 -9.71835000838688e-28
640 7.39674000004705e-14 -2.50712912959925e-11 5.38208374012922e-11 -3.25895852059685e-11 -2.89774784065066e-12 1.07462769204277e-11 -1.61669967887668e-11 -2.21735434553418e-11 4.30745604808645e-11 -1.64225884172017e-11 -5.38301405920833e-28 1.15557799153262e-27 -6.99725408142572e-28 -1.24434096210724e-28 4.61462946314655e-28 -6.94237644018109e-28 -9.52168715630942e-28 1.84969303675058e-27 -7.05213172267034e-28
648 7.48919925004764e-14 -2.59853494498901e-11 5.38245415274980e-11 -3.29202172098031e-11 -4.11441023373458e-12 1.99787994617029e-11 -2.20632554921162e-11 -2.18709392161555e-11 3.38457420657951e-11 -1.08569617176869e-11 -5.57926992155201e-28 1.15565752219263e-27 -7.06824351328438e-28 -1.76679596372318e-28 8.57922770062036e-28 -9.47432767652868e-28 -9.39174387938084e-28 1.45339227432323e-27 -4.66215935004008e-28
656 7.58165850004823e-14 -2.71220221397973e-11 5.38262037960926e-11 -3.32075641412054e-11 -5.40076408466976e-12 2.81916473763111e-11 -2.69204407179443e-11 -2.17212580551275e-11 2.56345564197815e-11 -6.28712342326112e-12 -5.82332297004684e-28 1.15569321247723e-27 -7.12993928129838e-28 -2.31917763269671e-28 1.21059607490727e-27 -1.15600835357006e-27 -9.32746830739697e-28 1.10079035004719e-27 -2.69979502689615e-28
664 7.67411775004882e-14 -2.75999907603925e-11 5.38257635976040e-11 -3.34406696101055e-11 -5.82277401104443e-12 3.50544791468092e-11 -3.05491568529225e-11 -2.17772167493480e-11 1.87712844507948e-11 -2.89151275718308e-12 -5.92594679480913e-28 1.15568376105079e-27 -7.17998895770130e-28 -2.50039569123073e-28 1.50529744844584e-27 -1.31183144015026e-27 -9.35149789838752e-28 8.06070073655751e-28 -1.24166351390004e-28
672 7.76657700004941e-14 -2.85740944941692e-11 5.38281066265383e-11 -3.35941568429074e-11 -6.49670090035876e-12 4.02532334468178e-11 -3.27472400805832e-11 -2.20773935938104e-11 1.35748731797205e-11 -8.46916762324175e-13 -6.13509494087552e-28 1.15573406782417e-27 -7.21294393885192e-28 -2.78979106997115e-28 1.72854057666707e-27 -1.40622077796389e-27 -9.48039881177990e-28 5.82927558981263e-28 -3.63680098064910e-29
680 7.85903625005000e-14 -2.94102613113506e-11 5.38299454041777e-11 -3.36774021232092e-11 -6.77270830617117e-12 4.34913888097502e-11 -3.33204516601247e-11 -2.26375530051794e-11 1.03385565944274e-11 -3.56950463084515e-13 -6.31462688757867e-28 1.15577354790426e-27 -7.23081739055958e-28 -2.90831322572236e-28 1.86759233621767e-27 -1.43083543346882e-27 -9.72094054943497e-28 4.43954759590861e-28 -1.53280446430935e-29
688 7.95149550005058e-14 -2.97886639290520e-11 5.38374849676117e-11 -3.36827000418572e-11 -6.31246538075731e-12 4.46229039315026e-11 -3.22410489935996e-11 -2.34761985482947e-11 9.21458103610904e-12 -1.44165104825761e-12 -6.39587306620901e-28 1.15593542858080e-27 -7.23195489760819e-28 -2.71067728356808e-28 1.91618147138976e-27 -1.38448409351706e-27 -1.00810688488499e-27 3.95689385771830e-28 -6.19068860045801e-29
696 8.04395475005117e-14 -3.02573146457755e-11 5.38282605351961e-11 -3.36118726823790e-11 -5.67681256335463e-12 4.36402397674862e-11 -2.95930555309826e-11 -2.45805020824209e-11 1.01880207677099e-11 -4.01881715139645e-12 -6.49649625977321e-28 1.15573737237063e-27 -7.21674767643451e-28 -2.43771742582027e-28 1.87398424311037e-27 -1.27077486434594e-27 -1.05552750937262e-27 4.37490501630885e-28 -1.72574670940963e-28
704 8.13641400005176e-14 -3.08566128029413e-11 5.38316208328633e-11 -3.34714487518435e-11 -4.93395724728957e-12 4.06569845288388e-11 -2.54830552565610e-11 -2.59226555556517e-11 1.31746363040245e-11 -7.98839349528251e-12 -6.62517054174753e-28 1.15580952074692e-27 -7.18659749456323e-28 -2.11872303792649e-28 1.74587831747412e-27 -1.09428463893742e-27 -1.11316180455686e-27 5.65740724019719e-28 -3.43034859975224e-28
712 8.22887325005235e-14 -3.10188534688894e-11 5.38289905285617e-11 -3.32695852713168e-11 -3.54858811237795e-12 3.57941498407042e-11 -2.00871227978520e-11 -2.74702653565115e-11 1.80348406878575e-11 -1.31824624734648e-11 -6.66000495755259e-28 1.15575304593328e-27 -7.14325573203145e-28 -1.52382256452211e-28 1.53706013427972e-27 -8.62574353696454e-28 -1.17961873505831e-27 7.74445957586853e-28 -5.66076792709837e-28
720 8.32133250005294e-14 -3.12203331110358e-11 5.38299059549122e-11 -3.30384690646092e-11 -2.04530841349511e-12 2.93212450854833e-11 -1.39956268289571e-11 -2.91750246975407e-11 2.45086608694289e-11 -1.90428422356520e-11 -6.70326430680244e-28 1.15577270089583e-27 -7.09363316671043e-28 -8.78289340208110e-29 1.25910287320445e-27 -6.00995418211683e-28 -1.25282392733968e-27 1.05244252858722e-27 -8.17731215130402e-28
728 8.41379175005352e-14 -3.19203938084041e-11 5.38327251712050e-11 -3.27245867627774e-11 -9.55044447853424e-13 2.15071546949643e-11 -1.50195527780945e-11 -3.09653493605507e-11 3.23255704762407e-11 -1.77050339846829e-11 -6.85357314138709e-28 1.15583323180651e-27 -7.02624003471139e-28 -4.10111918789409e-29 9.23552877510278e-28 -6.44964495948623e-28 -1.32970343639848e-27 1.38811358610275e-27 -7.60283510993656e-28
736 8.50625100005411e-14 -3.14113534365503e-11 5.38383094987613e-11 -3.17389362236080e-11 1.39502328496992e-12 1.27503070286029e-11 -9.42834284595448e-11 -3.28063767215202e-11 4.10880024701584e-11 6.25444922359368e-11 -6.74427795407330e-28 1.15595313194804e-27 -6.81461269381478e-28 5.99046125487474e-29 5.47519321473188e-28 -4.04868672264375e-27 -1.40876020336341e-27 1.76438694242289e-27 2.68576418388079e-27
744 8.59871025005470e-14 -2.74092181309792e-11 5.38303520957208e-11 -2.97303526909100e-11 7.22793798973306e-12 3.51845526664420e-12 -3.68848946688469e-10 -3.46371561207123e-11 5.03118968290766e-11 3.39118593997559e-10 -5.88498632994436e-28 1.15578227990881e-27 -6.38335316003337e-28 3.10379639871508e-28 1.51088302101685e-28 -1.58389852545456e-26 -1.48737690586038e-27 2.16047625771592e-27 1.45623146225389e-26
752 8.69116950005529e-14 -2.29590073007629e-11 5.38463122702839e-11 -3.48436788197829e-11 1.31412959331892e-11 -5.66398760688983e-12 -2.19807924697675e-10 -3.61003032339521e-11 5.95102998771738e-11 1.84964245877893e-10 -4.92948917653988e-28 1.15612495808619e-27 -7.48122666467570e-28 5.64309033223844e-28 -2.43221017690008e-28 -9.43891668764684e-27 -1.55020686853182e-27 2.55547093386239e-27 7.94267135471170e-27
760 8.78362875005588e-14 -7.72801734431071e-12 5.38315208309750e-11 -3.00466697452158e-11 2.90226424887274e-11 -1.44411984940508e-11 2.32655958808745e-10 -3.67506598330382e-11 6.82727193250258e-11 -2.62702628553961e-10 -1.65926938198352e-28 1.15580737362349e-27 -6.45126905357043e-28 1.24628038267155e-27 -6.20129004186707e-28 9.99063257205467e-27 -1.57813425906825e-27 2.93174375143368e-27 -1.12808863827688e-26
768 8.87608800005647e-14 1.49298512668601e-11 5.38278116603766e-11 -2.55875960507678e-11 5.09397496103103e-11 -2.23717315185683e-11 -4.24999518779230e-10 -3.60098983434502e-11 7.61995431789449e-11 3.99411922728462e-10 3.20556282173800e-28 1.15572773465618e-27 -5.49386896975042e-28 2.18743729700658e-27 -9.60679239625260e-28 -1.82501839074484e-26 -1.54632473265898e-27 3.27213470893761e-27 1.71514101134984e-26
776 8.96854725005705e-14 3.44488878068084e-11 5.38270868469814e-11 -3.81758948748126e-11 6.75888738616333e-11 -2.91806874115232e-11 2.98529128777332e-11 -3.31399860548249e-11 8.30077742585046e-11 -6.80288077525458e-11 7.39646176173549e-28 1.15571217231178e-27 -8.19668107269864e-28 2.90237829354555e-27 -1.25306709366582e-27 1.28193356961112e-27 -1.42308594119845e-27 3.56449143828938e-27 -2.92126978415085e-27
784 9.06100650005764e-14 6.29500763768070e-11 5.38292925509648e-11 -1.43106667875751e-11 9.02439782693764e-11 -3.46319966023029e-11 5.19359515084337e-10 -2.72939018925694e-11 8.84612891532677e-11 -5.33670181871912e-10 1.35159031963685e-27 1.15575953060463e-27 -3.07261878156536e-28 3.87522603481213e-27 -1.48715534758635e-27 2.23021585803160e-26 -1.17204539553843e-27 3.79867440879561e-27 -2.29166823366291e-26
792 9.15346575005823e-14 1.23039738828095e-10 5.38272944581368e-11 -2.71184851938622e-11 1.39692939885639e-10 -3.84966915813932e-11 -5.48681140715474e-10 -1.66532010575446e-11 9.23239860395300e-11 5.21562655521611e-10 2.64176518127259e-27 1.15571662989538e-27 -5.82256355843654e-28 5.99864642390189e-27 -1.65311175694226e-27 -2.35612777947817e-26 -7.15116061356717e-28 3.96454501673301e-27 2.23967650830944e-26
800 9.24592500005882e-14 1.83500897002239e-10 5.38228987990721e-11 -5.45601015559052e-11 1.83637479141804e-10 -4.06575726003161e-11 3.79332612089102e-10 -1.36582139564075e-13 9.44804713993882e-11 -4.33892713645007e-10 3.93991636401388e-27 1.15562225145166e-27 -1.17145060571419e-27 7.88569779152871e-27 -1.74590357023827e-27 1.62891712268387e-26 -5.86506350095889e-30 4.05714807314159e-27 -1.86320724382670e-26
808 9.33838425005941e-14 2.40643822387234e-10 5.38246591141711e-11 2.01526781691834e-11 2.15968321111619e-10 -4.09936711047333e-11 7.95199814577043e-10 2.46755012756154e-11 9.48183302189045e-11 -7.75047136407860e-10 5.16682233826214e-27 1.15566004687598e-27 4.32694705010090e-28 9.27403774430471e-27 -1.76033619720748e-27 3.41471983330377e-26 1.05960693221958e-27 4.07165629095943e-27 -3.32818089230175e-26
816 9.43084350006000e-14 3.88005020386527e-10 5.38308796839434e-11 -2.82907205538634e-11 3.27345952912931e-10 -3.95294118124851e-11 -8.50863950320678e-10 6.06590674735966e-11 9.33602914964286e-11 8.22573229766814e-10 8.33078940819434e-27 1.15579360766527e-27 -6.07425220698239e-28 1.40567778974904e-26 -1.69745847572563e-27 -3.65375086027728e-26 2.60480091889827e-27 4.00904569105616e-27 3.53226581613764e-26
824 9.52330275006058e-14 5.51593522805557e-10 5.38270376800457e-11 -1.26026369370202e-10 4.40935110016161e-10 -3.64077349777684e-11 8.11536946874284e-10 1.10658412789395e-10 9.02347726578141e-11 -9.37563316244485e-10 1.18431701549620e-26 1.15571111665691e-27 -2.70589061465381e-27 1.89344846134429e-26 -1.56340849727661e-27 3.48487418778430e-26 4.75185569648110e-27 3.87483073059043e-27 -4.02605231071506e-26
832 9.61576200006117e-14 6.78401776191454e-10 5.38296440248342e-11 1.47107077883056e-10 4.98309609482007e-10 -3.17835916899370e-11 9.96979570822229e-10 1.80092166709448e-10 8.56132357147712e-11 -8.49872492939173e-10 1.45658484675428e-26 1.15576707703994e-27 3.15851090039436e-27 2.13982407368784e-26 -1.36484011851768e-27 4.28119555799457e-26 7.73345619820712e-27 3.67637427259756e-27 -3.64949337791570e-26
840 9.70822125006176e-14 1.01170341596916e-09 5.38207226482317e-11 -7.35859607451491e-11 7.36409241880848e-10 -2.58163567803756e-11 -1.39707585507879e-09 2.75294174088312e-10 7.96370794286072e-11 1.32348989433364e-09 2.17221109499916e-26 1.15557552768929e-27 -1.57995157319562e-27 3.16226336775018e-26 -1.10859715892267e-27 -5.99927533120063e-26 1.18215882224814e-26 3.41974821430124e-27 5.68328501656150e-26
848 9.80068050006235e-14 1.40947795781907e-09 5.38187889076433e-11 -3.41315606710434e-10 1.00715390341732e-09 -1.87658053177386e-11 1.29786994585092e-09 4.02324054401743e-10 7.25845942253819e-11 -1.63918555256136e-09 3.02626600820400e-26 1.15553400867596e-27 -7.32832899533648e-27 4.32488582887520e-26 -8.05834790598921e-28 5.57326871046026e-26 1.72764618753280e-26 3.11690280795084e-27 -7.03893450952755e-26
856 9.89313975006294e-14 1.69661357074077e-09 5.38043848157925e-11 5.60060797349844e-10 1.12380605596281e-09 -1.09269744661058e-11 1.18411247101486e-09 5.72807514777964e-10 6.47313592818984e-11 -6.24051673665013e-10 3.64276997004980e-26 1.15522474088426e-27 1.20249695580201e-26 4.82580951068782e-26 -4.69222398489385e-28 5.08477525461623e-26 2.45973042941178e-26 2.77967188025790e-27 -2.67978134301221e-26
864 9.98559900006352e-14 2.43704737855447e-09 5.37849948596471e-11 -2.42830634755191e-10 1.63836804761086e-09 -2.54393663204394e-12 -2.23297379799397e-09 7.98679330943606e-10 5.63289314916910e-11 1.99014316323878e-09 5.23254273058223e-26 1.15480842245332e-27 -5.21377501246862e-27 7.03542400774284e-26 -1.09240856359214e-28 -9.58875967458983e-26 3.42966145342163e-26 2.41885770126586e-27 8.54600467209611e-26
872 1.00780582500641e-13 3.26293542778738e-09 5.37953984881956e-11 -9.75607099574834e-10 2.16954155997869e-09 6.12016216695120e-12 1.65357979476848e-09 1.09339386780870e-09 4.76752363212444e-11 -2.62918689434331e-09 7.00579283081283e-26 1.15503179698191e-27 -2.09470931164772e-26 9.31637112865329e-26 2.62809909552599e-28 7.10074577186565e-26 4.69521453297239e-26 2.04725368441122e-27 -1.12901643951611e-25
880 1.01705175000647e-13 3.92498660239527e-09 5.38092660764438e-11 1.72501182806836e-09 2.44559441588812e-09 1.46693619828757e-11 1.67158636564689e-09 1.47939218650715e-09 3.91399040935681e-11 5.34254624214731e-11 8.42727158065262e-26 1.15532954559656e-27 3.70374338248661e-26 1.05017878564168e-25 6.29926722649968e-28 7.17806897237595e-26 6.35275530488839e-26 1.68073236854315e-27 2.29417792597277e-27
888 1.02629767500653e-13 5.54000184931697e-09 5.38142693128865e-11 -5.31600470946644e-10 3.56362231738923e-09 2.26341309309337e-11 -3.21739176791404e-09 1.97637953192773e-09 3.11801383819528e-11 2.68579129696740e-09 1.18948431857119e-25 1.15543696923020e-27 -1.14139027591489e-26 1.53027850139343e-25 9.71947105402214e-28 -1.38160136358280e-25 8.48690135748941e-26 1.33892683305819e-27 1.15332330839982e-25
896 1.03554360000659e-13 6.91051149150224e-09 5.38188667324458e-11 -2.70523042940257e-09 4.29866028302902e-09 2.96014256461769e-11 1.26709291490001e-09 2.61185120847322e-09 2.42174410862689e-11 -3.97232334430258e-09 1.48374409901350e-25 1.15553567963898e-27 -5.80835397066282e-26 1.84591598941730e-25 1.27113429096850e-27 5.44110703729114e-26 1.12157220860969e-25 1.03993706830946e-27 -1.70578149786168e-25
904 1.04478952500665e-13 8.70240857802905e-09 5.38007995305380e-11 4.19461150763154e-09 5.28113930485101e-09 3.52423890184044e-11 2.85256649066788e-09 3.42126927317804e-09 1.85584105121336e-11 1.34204501696366e-09 1.86847925667050e-25 1.15514776183797e-27 9.00617860162107e-26 2.26780876908361e-25 1.51336660985216e-27 1.22493934140092e-25 1.46914974425738e-25 7.96928913823782e-28 5.76296378923299e-26
912 1.05403545000671e-13 1.14568032564336e-08 5.38017610079826e-11 -1.56201649591837e-10 7.01921179000872e-09 3.93661200759916e-11 -3.31010974338981e-09 4.43759146642485e-09 1.44356409319911e-11 3.15390809379797e-09 2.45987062552393e-25 1.15516840555568e-27 -3.35377889354584e-27 3.01416590825678e-25 1.69044645785292e-27 -1.42141599934567e-25 1.90557534279107e-25 6.19890353258447e-28 1.35434042147475e-25
920 1.06328137500676e-13 1.37864569893029e-08 5.37994471389488e-11 -6.58283410770066e-09 8.08160985627887e-09 4.17416555551698e-11 -9.21707406197539e-10 5.70484713302402e-09 1.20577915837790e-11 -5.66112670150312e-09 2.96006659265895e-25 1.15511872486954e-27 -1.41338904856699e-25 3.47037725051997e-25 1.79245588952993e-27 -3.95796440435509e-26 2.44975593479793e-25 5.17781560209156e-28 -2.43098165669848e-25
928 1.07252730000682e-13 1.80231861679528e-08 5.37925463283278e-11 6.67659085203011e-09 1.07500034156893e-08 4.21783804552805e-11 3.27666609030715e-09 7.27318275226344e-09 1.16141658730473e-11 3.39992476172296e-09 3.86972746590547e-25 1.15497055874537e-27 1.43351939873175e-25 4.61622968199033e-25 1.81120958075027e-27 1.40705474027770e-25 3.12322524982060e-25 4.98731536740467e-28 1.45998405718581e-25
