#[0]step() [1]time(s) [2]total_x(kg*m/s) [3]total_y(kg*m/s) [4]total_z(kg*m/s) [5]ele_x(kg*m/s) [6]ele_y(kg*m/s) [7]ele_z(kg*m/s) [8]ion_x(kg*m/s) [9]ion_y(kg*m/s) [10]ion_z(kg*m/s) [11]total_mean_x(kg*m/s) [12]total_mean_y(kg*m/s) [13]total_mean_z(kg*m/s) [14]ele_mean_x(kg*m/s) [15]ele_mean_y(kg*m/s) [16]ele_mean_z(kg*m/s) [17]ion_mean_x(kg*m/s) [18]ion_mean_y(kg*m/s) [19]ion_mean_z(kg*m/s)
104 1.20197025000764e-14 3.59934483078109e-12 5.38235191057354e-11 -1.67816233186746e-11 -1.08443118351929e-11 -4.76505623132890e-11 1.88162733126488e-11 1.44436566659740e-11 1.01474081419024e-10 -3.55978966313235e-11 7.72809170428748e-29 1.15563556994990e-27 -3.60315363075071e-28 -4.65672728078538e-28 -2.04619414160465e-27 8.08001969967024e-28 6.20234562164287e-28 4.35746528150444e-27 -1.52863269611716e-27
112 1.29442950000823e-14 3.76542891915471e-12 5.38325249274539e-11 -1.69649572949477e-11 -1.06059130626323e-11 -5.00348433270637e-11 1.94357689654299e-11 1.43713419817870e-11 1.03867368254518e-10 -3.64007262603775e-11 8.08468800886988e-29 1.15582893240719e-27 -3.64251695512667e-28 -4.55435489563449e-28 -2.14857912103572e-27 8.34604140307343e-28 6.17129249740847e-28 4.46023698585010e-27 -1.56310753133268e-27
120 1.38688875000882e-14 3.98882867849033e-12 5.38280263128843e-11 -1.72194044309930e-11 -9.91477466160284e-12 -5.01561088249309e-11 1.91177751416967e-11 1.39036033400932e-11 1.03984135137815e-10 -3.63371795726897e-11 8.56434580994996e-29 1.15573234342345e-27 -3.69714886436846e-28 -4.25756860842838e-28 -2.15378646255004e-27 8.20948958340944e-28 5.97043777041837e-28 4.46525114939693e-27 -1.56037873121464e-27
128 1.47934800000941e-14 4.31322351331503e-12 5.38319679541656e-11 -1.75536442726550e-11 -8.75376311605257e-12 -4.79709887123785e-11 1.78473227891884e-11 1.30669866293676e-11 1.01802956666544e-10 -3.54009670618434e-11 9.26084840966850e-29 1.15581697372901e-27 -3.76891292891434e-28 -3.75901100333212e-28 -2.05995378238961e-27 7.66393628147802e-28 5.61118068526582e-28 4.37158772984764e-27 -1.52017621393067e-27
136 1.57180725001000e-14 4.08372497610315e-12 5.38207855849785e-11 -1.79482512757894e-11 -7.82087815615290e-12 -4.35932481780467e-11 1.56354937912551e-11 1.19046031322561e-11 9.74140337630253e-11 -3.35837450670446e-11 8.76809602695545e-29 1.15557687899341e-27 -3.85363832341663e-28 -3.35841473603363e-28 -1.87196634635643e-27 6.71414024170701e-28 5.11203394142472e-28 4.18312010434324e-27 -1.44214168885403e-27
144 1.66426650001058e-14 3.80547678964062e-12 5.38240779494434e-11 -1.84165193727771e-11 -6.66340016919461e-12 -3.72010507486290e-11 1.25131748190683e-11 1.04688769588352e-11 9.10251286980724e-11 -3.09296941918454e-11 8.17067410640346e-29 1.15564756878754e-27 -3.95417936535196e-28 -2.86137449957668e-28 -1.59747479164906e-27 5.37336471274163e-28 4.49550932085737e-28 3.90876992922414e-27 -1.32817234434456e-27
152 1.75672575001117e-14 3.62465627458285e-12 5.38248283137565e-11 -1.89293545852608e-11 -5.18791081334360e-12 -2.89837525355179e-11 8.65787420569953e-12 8.81256708792645e-12 8.28085808492744e-11 -2.75872287909603e-11 7.78243747221587e-29 1.15566367973132e-27 -4.06428933640471e-28 -2.22777490927334e-28 -1.24461038360834e-27 3.71783471556468e-28 3.78426240371651e-28 3.55593774307098e-27 -1.18464133883741e-27
160 1.84918500001176e-14 3.37318664267618e-12 5.38222047022404e-11 -1.94851268351065e-11 -3.62584009046406e-12 -1.93176567133564e-11 4.30091386868244e-12 6.99902673314024e-12 7.31398614155968e-11 -2.37860407037889e-11 7.24251132799133e-29 1.15560734861734e-27 -4.18361824528765e-28 -1.55699584460806e-28 -8.29532204394910e-28 1.84688371645718e-28 3.00549811020632e-28 3.14074690162959e-27 -1.02141202070325e-27
168 1.94164425001235e-14 3.18750132657929e-12 5.38264586013975e-11 -2.00422357512342e-11 -1.92419901521320e-12 -8.66836524075375e-12 -2.88301156815952e-13 5.11170034179249e-12 6.24948238421512e-11 -1.97539345944183e-11 6.84382956272548e-29 1.15569868335833e-27 -4.30323414750109e-28 -8.26282956814684e-29 -3.72233973993903e-28 -1.23801296239924e-29 2.19504886935978e-28 2.68363134071057e-27 -8.48266699876226e-28
176 2.03410350001294e-14 3.15806386315144e-12 5.38262729331968e-11 -2.05949132545933e-11 -6.07440218018321e-14 2.41376616854954e-12 -4.87179719704039e-12 3.21880788495328e-12 5.14125067646472e-11 -1.57231160575529e-11 6.78062488865076e-29 1.15569469690816e-27 -4.42189858866074e-28 -2.60844899859136e-30 1.03651120858067e-28 -2.09203048185014e-28 1.38220946771607e-28 2.20773827295826e-27 -6.75176669547134e-28
184 2.12656275001352e-14 2.23017357217961e-12 5.38224311690034e-11 -2.11269132171928e-11 8.35183996761913e-13 1.34138842469092e-11 -9.24721069671407e-12 1.39498957541770e-12 4.04085469220942e-11 -1.18797025204787e-11 4.78836752035849e-29 1.15561221104646e-27 -4.53612339042152e-28 3.58641854024791e-29 5.76014427316292e-28 -3.97090557492188e-28 5.99031650046907e-29 1.73520999477663e-27 -5.10134120592117e-28
192 2.21902200001411e-14 1.62176160614229e-12 5.38238352953062e-11 -2.16085440996371e-11 1.93415508348462e-12 2.38140115970519e-11 -1.32912986521869e-11 -3.12393477342333e-13 3.00098236982543e-11 -8.31724544745024e-12 3.48205659751704e-29 1.15564235880208e-27 -4.63953353315961e-28 8.30558257583741e-29 1.02261313723056e-27 -5.70750398654536e-28 -1.34146938080334e-29 1.28867158037359e-27 -3.57156307977385e-28
200 2.31148125001470e-14 7.18212679720360e-13 5.38256816011896e-11 -2.20269385446661e-11 2.57361037345337e-12 3.31014764908837e-11 -1.68115712374930e-11 -1.85539769373301e-12 2.07242051103059e-11 -5.21536730717307e-12 1.54206215658879e-29 1.15568200051981e-27 -4.72936628861268e-28 1.10515096008943e-28 1.42143227668104e-27 -7.21916739432346e-28 -7.96738528771669e-29 8.89931724358575e-28 -2.23956518290190e-28
208 2.40394050001529e-14 -4.16886393054756e-14 5.38200129271539e-11 -2.23788779068093e-11 3.15784173122126e-12 4.07519458288419e-11 -1.96090295987605e-11 -3.19953037052674e-12 1.30680670983120e-11 -2.76984830804882e-12 -8.95089641938431e-31 1.15556028938945e-27 -4.80493058691863e-28 1.35602959059679e-28 1.74995611312463e-27 -8.42044239136837e-28 -1.37393138343556e-28 5.61164465654273e-28 -1.18941878246889e-28
216 2.49639975001588e-14 -8.81048868890884e-13 5.38207098456948e-11 -2.26285286221857e-11 3.43170405577366e-12 4.64055447667848e-11 -2.15154259977506e-11 -4.31275292466454e-12 7.41516507891006e-12 -1.11310262443511e-12 -1.89168495236116e-29 1.15557525280821e-27 -4.85853266488489e-28 1.47363061289345e-28 1.99273102414755e-27 -9.23908060964221e-28 -1.85196760336568e-28 3.18419481468861e-28 -4.77984720127572e-29
224 2.58885900001647e-14 -2.11617982788070e-12 5.38165060666230e-11 -2.27933031561306e-11 3.09549735072812e-12 4.97978759074422e-11 -2.23941424802859e-11 -5.21167717860882e-12 4.01863015918077e-12 -3.99160675844714e-13 -4.54361350231520e-29 1.15548499418699e-27 -4.89391112315228e-28 1.32925788005783e-28 2.13840334718876e-27 -9.61641603474666e-28 -2.23798058052086e-28 1.72566641185223e-28 -1.71406211557890e-29
232 2.68131825001705e-14 -3.44358582445032e-12 5.38265334602343e-11 -2.28542692210137e-11 2.45139784831665e-12 5.08566542182931e-11 -2.21545279376691e-11 -5.89498367276698e-12 2.96987924194126e-12 -6.99741283344603e-13 -7.39366420670547e-29 1.15570029063961e-27 -4.90700104263532e-28 1.05267087573673e-28 2.18386904311648e-27 -9.51352157777842e-28 -2.53140371707783e-28 1.27531538162745e-28 -3.00480507492214e-29
240 2.77377750001764e-14 -4.36384180074317e-12 5.38299890539532e-11 -2.28117243569346e-11 2.03874005016829e-12 4.95304457055195e-11 -2.07860632703801e-11 -6.40258185091146e-12 4.29954334843366e-12 -2.02566108655454e-12 -9.36953006856744e-29 1.15577448510113e-27 -4.89786630765973e-28 8.75468776104184e-29 2.12691945096808e-27 -8.92588016301618e-28 -2.74937478981767e-28 1.84629519234166e-28 -8.69852452303266e-29
248 2.86623675001823e-14 -5.23284134501410e-12 5.38216742758354e-11 -2.27078391910953e-11 1.51980117061373e-12 4.58883267233895e-11 -1.82785060327108e-11 -6.75264251562783e-12 7.93334755244586e-12 -4.42933315838449e-12 -1.12353441221913e-28 1.15559595992275e-27 -4.87556130144150e-28 6.52627818170872e-29 1.97052082391174e-27 -7.84909351447201e-28 -2.89969664260914e-28 3.40671095933764e-28 -1.90202908841098e-28
256 2.95869600001882e-14 -6.08408800771907e-12 5.38269171856392e-11 -2.25144742965899e-11 9.07511785997685e-13 4.01060045843054e-11 -1.47764893373921e-11 -6.99159979371676e-12 1.37209126013338e-11 -7.73798495919784e-12 -1.30630412675424e-28 1.15570852954213e-27 -4.83404425577396e-28 3.89700605784407e-29 1.72221832523241e-27 -6.34526948850361e-28 -3.00230885929288e-28 5.89198733851850e-28 -3.32281902304431e-28
264 3.05115525001941e-14 -7.22953452359620e-12 5.38222440813738e-11 -2.22833274223110e-11 -6.39367198976989e-14 3.23634596252403e-11 -1.04448793233837e-11 -7.16559780369850e-12 2.14587844561335e-11 -1.18384480989273e-11 -1.55224098841175e-28 1.15560819411998e-27 -4.78441510587117e-28 -2.74554874773436e-30 1.38974060897403e-27 -4.48520433835781e-28 -3.07702648934616e-28 9.21475779265922e-28 -5.08362587338453e-28
272 3.14361450002000e-14 -7.95411660007065e-12 5.38284526256645e-11 -2.20380486661511e-11 -6.30245716971940e-13 2.29773789403951e-11 -5.53147498898698e-12 -7.32387088309871e-12 3.08510736852694e-11 -1.65065736771641e-11 -1.70781476635018e-28 1.15574149671221e-27 -4.73175172378821e-28 -2.70637959183066e-29 9.86686743970581e-28 -2.37530706195701e-28 -3.14499157351729e-28 1.32479624945384e-27 -7.08819638561940e-28
280 3.23607375002058e-14 -8.37245494203077e-12 5.38301359120193e-11 -2.18025671120614e-11 -8.72345321653397e-13 1.24184043062262e-11 -2.30950020432758e-13 -7.50010962037738e-12 4.14117316057931e-11 -2.15716170916286e-11 -1.79763547600933e-28 1.15577763826554e-27 -4.68119188219952e-28 -3.74599542999642e-29 5.33266868340638e-28 -9.91737675005761e-30 -3.22067140901901e-28 1.77828840819044e-27 -9.26320999689846e-28
288 3.32853300002117e-14 -9.22938033114898e-12 5.38167555614872e-11 -2.15950680808113e-11 -1.48331107154116e-12 1.18482455278830e-12 5.29736117608734e-12 -7.74606925960783e-12 5.26319310086989e-11 -2.68924292568986e-11 -1.98162446017678e-28 1.15549035104853e-27 -4.63664012021389e-28 -6.36958364690352e-29 5.08783305180146e-29 2.27477470952130e-28 -3.32629055566320e-28 2.26010237157905e-27 -1.15480549499491e-27
296 3.42099225002176e-14 -9.48491700836263e-12 5.38077915650143e-11 -2.14574561861678e-11 -1.42547470357712e-12 -1.01171598094567e-11 1.07401221424029e-11 -8.05944230478551e-12 6.39249513744709e-11 -3.21975783285707e-11 -2.03649030293870e-28 1.15529788661393e-27 -4.60709370575782e-28 -6.12122469465943e-29 -4.34447614609048e-28 4.61198649942780e-28 -3.46085813641146e-28 2.74504338783691e-27 -1.38261739109434e-27
304 3.51345150002235e-14 -1.01084233751891e-11 5.38283778289181e-11 -2.13767640299974e-11 -1.62281337100970e-12 -2.09802729112833e-11 1.57579389274840e-11 -8.48561000417935e-12 7.48086507402014e-11 -3.71347029574814e-11 -2.17036228819098e-28 1.15573989076407e-27 -4.58976843096425e-28 -6.96862964773804e-29 -9.00927700245884e-28 6.76672021311893e-28 -3.64386161160815e-28 3.21240748177401e-27 -1.59462570750474e-27
312 3.60591075002294e-14 -1.02709431986442e-11 5.38248921319321e-11 -2.13933048413405e-11 -1.26045616206384e-12 -3.08283045190980e-11 2.01055662383375e-11 -9.01048703658039e-12 8.46531966510300e-11 -4.14988710796780e-11 -2.20525664142675e-28 1.15566504996045e-27 -4.59331988026773e-28 -5.41260772036101e-29 -1.32381850371134e-27 8.63366345606738e-28 -3.86925251081740e-28 3.63514860363225e-27 -1.78203032166028e-27
320 3.69837000002352e-14 -1.03905477206141e-11 5.38299479076529e-11 -2.15073724326277e-11 -7.56237369383567e-13 -3.91088430949540e-11 2.35621767073654e-11 -9.63431035123050e-12 9.29387910026069e-11 -4.50695491399931e-11 -2.23093672370522e-28 1.15577360165595e-27 -4.61781113763257e-28 -3.24740863438587e-29 -1.67939855776923e-27 1.01179892957147e-27 -4.13713258397185e-28 3.99094576108113e-27 -1.93536115709799e-27
328 3.79082925002411e-14 -1.06341222930124e-11 5.38290260510713e-11 -2.17246437769154e-11 -2.98421932108264e-13 -4.54453521414156e-11 2.59322287843258e-11 -1.03357003609042e-11 9.92743781924869e-11 -4.76568725612412e-11 -2.28323420340845e-28 1.15575380863101e-27 -4.66446109623087e-28 -1.28147324934291e-29 -1.95149876099136e-27 1.11357289486678e-27 -4.43832108188261e-28 4.26300637825338e-27 -2.04646511411295e-27
336 3.88328850002470e-14 -1.08963844320170e-11 5.38297304235632e-11 -2.20460268396248e-11 2.01087422086531e-13 -4.95618907670476e-11 2.70301541940525e-11 -1.10974718541035e-11 1.03391621190611e-10 -4.90761810336772e-11 -2.33954405856478e-28 1.15576893209227e-27 -4.73346470376473e-28 8.63502727037263e-30 -2.12826975404023e-27 1.16071963211892e-27 -4.76543838983329e-28 4.43980761822478e-27 -2.10741257287187e-27
344 3.97574775002529e-14 -1.10057675135121e-11 5.38356874972834e-11 -2.24789069440842e-11 8.94832239203483e-13 -5.12465549731355e-11 2.67445525454327e-11 -1.19005997527156e-11 1.05082242470419e-10 -4.92234594895169e-11 -2.36302951284698e-28 1.15589683540291e-27 -4.82640765037033e-28 3.84255798187401e-29 -2.20061202791319e-27 1.14845542385216e-27 -5.11031482388136e-28 4.51240569871901e-27 -2.11373695392622e-27
352 4.06820700002588e-14 -1.14085175058511e-11 5.38238900185124e-11 -2.30191195213570e-11 1.27576619967088e-12 -5.04248031862109e-11 2.51076247929202e-11 -1.26842837055220e-11 1.04248693204723e-10 -4.81267443142772e-11 -2.44950327462938e-28 1.15564353375467e-27 -4.94239576857648e-28 5.47835155996839e-29 -2.16532464386926e-27 1.07816303243400e-27 -5.44684170525561e-28 4.47661171137860e-27 -2.06664218614930e-27
