#[0]step() [1]time(s) [2]momentum_x_lev0(kg*m/s) [3]momentum_y_lev0(kg*m/s) [4]momentum_z_lev0(kg*m/s)
504 5.82493275003705e-14 1.42836931973752e-03 -3.59998571720154e-15 1.49113512389022e-15
512 5.91739200003764e-14 1.53203913851480e-03 -4.72213125446890e-15 2.49396017490065e-15
520 6.00985125003823e-14 1.59500944925739e-03 -2.77073139851614e-16 2.63799721223238e-15
528 6.10231050003882e-14 1.70047654329238e-03 -2.39179461104665e-16 -3.08807052179269e-16
536 6.19476975003941e-14 1.81674924844762e-03 -1.18886204831296e-15 6.41599484308612e-16
544 6.28722900004000e-14 1.88213445781502e-03 3.56035418650068e-15 7.19050762616005e-16
552 6.37968825004058e-14 1.97019943114198e-03 -5.14616909185013e-17 8.61283166304459e-16
560 6.47214750004117e-14 2.08812584231659e-03 -3.42116826951355e-15 9.59348467176902e-16
568 6.56460675004176e-14 2.15866288167722e-03 7.72925561851948e-15 -1.35547715723658e-16
576 6.65706600004235e-14 2.22761416938816e-03 4.36554394883398e-15 3.70205214814259e-16
584 6.74952525004294e-14 2.33527675205426e-03 -6.73415954514907e-15 4.30849028980998e-17
592 6.84198450004352e-14 2.41012393616819e-03 7.23715233399194e-15 5.80018537237086e-16
600 6.93444375004411e-14 2.46307442891432e-03 8.59391899534936e-15 -6.47114932147622e-17
608 7.02690300004470e-14 2.55154308672885e-03 -1.09970906196212e-14 -5.92772829031028e-16
616 7.11936225004529e-14 2.62615236221849e-03 7.64211588606647e-15 -1.08983624548276e-15
624 7.21182150004588e-14 2.66829479652083e-03 1.60322290067874e-14 -1.06346886517718e-15
632 7.30428075004647e-14 2.73400587108398e-03 -2.03035953819976e-14 6.79134123284553e-16
640 7.39674000004705e-14 2.80206382848818e-03 4.64713381252037e-15 -5.62552468856846e-16
648 7.48919925004764e-14 2.83780597835654e-03 2.65530821622680e-14 1.22471375160578e-16
656 7.58165850004823e-14 2.88244651882599e-03 -2.69570776732181e-14 2.05995158637380e-16
664 7.67411775004882e-14 2.93857465939158e-03 -6.59744098650573e-15 5.78776763604737e-16
672 7.76657700004941e-14 2.97003174685931e-03 4.03870496827143e-14 -5.92082310048554e-16
680 7.85903625005000e-14 2.99849247401863e-03 -3.23359740090708e-14 6.29474783351632e-17
688 7.95149550005058e-14 3.04015644441658e-03 -2.81899873230906e-14 -8.70988149482516e-16
696 8.04395475005117e-14 3.06734936658217e-03 5.71171329511712e-14 -3.10083641894769e-16
704 8.13641400005176e-14 3.08517190079412e-03 -2.54753022823268e-14 9.28457897402082e-16
712 8.22887325005235e-14 3.11300744090261e-03 -5.74166451175066e-14 5.85119093418558e-16
720 8.32133250005294e-14 3.13506868514917e-03 6.68683575968631e-14 6.52619935161686e-15
728 8.41379175005352e-14 3.14665192390351e-03 8.75235103267328e-16 9.25295436515959e-14
736 8.50625100005411e-14 3.16346305816961e-03 -1.25326697390542e-13 2.53971291819693e-13
744 8.59871025005470e-14 3.17983301003275e-03 1.46729803445472e-13 -8.10064889827054e-13
752 8.69116950005529e-14 3.18785713120671e-03 -9.15893433695032e-14 8.27623400710737e-13
760 8.78362875005588e-14 3.19714627074975e-03 -1.38992687618230e-13 -8.45759719310378e-13
768 8.87608800005647e-14 3.20812545129543e-03 1.13196670778160e-13 -3.22139770835181e-12
776 8.96854725005705e-14 3.21388704804655e-03 -7.78535628343169e-14 6.73379055494068e-12
784 9.06100650005764e-14 3.21870802692632e-03 -7.82175219310423e-14 -8.50045516477190e-12
792 9.15346575005823e-14 3.22533504416469e-03 9.96657884987530e-14 -6.81457848480088e-12
800 9.24592500005882e-14 3.22939253105058e-03 -8.15232292040363e-14 2.89855934062260e-11
808 9.33838425005941e-14 3.23185375324835e-03 -4.11837773862963e-14 -4.35847125027422e-11
816 9.43084350006000e-14 3.23545378169905e-03 1.73514796381789e-13 2.15182235170539e-13
824 9.52330275006058e-14 3.23813259902189e-03 -1.40382600110154e-13 1.00471661141918e-10
832 9.61576200006117e-14 3.23943878693070e-03 1.15953611315869e-14 -1.76595951782280e-10
840 9.70822125006176e-14 3.24120668965267e-03 2.22058663785119e-13 6.36810647254541e-11
848 9.80068050006235e-14 3.24282305768677e-03 -1.79375069046878e-13 3.02967077426154e-10
856 9.89313975006294e-14 3.24356218735939e-03 1.39494725171974e-13 -6.11030615443838e-10
864 9.98559900006352e-14 3.24435639120517e-03 -7.71435854103699e-15 3.12211273730162e-10
872 1.00780582500641e-13 3.24523711607103e-03 7.48377195826287e-14 8.75415703807679e-10
880 1.01705175000647e-13 3.24566992035995e-03 -2.44501211945314e-14 -1.83354470709793e-09
888 1.02629767500653e-13 3.24600433587876e-03 -4.47960353727892e-14 8.21959971862694e-10
896 1.03554360000659e-13 3.24643540111979e-03 1.11997237616501e-13 2.46276821960340e-09
904 1.04478952500665e-13 3.24668263627087e-03 -2.14748308930566e-14 -4.50141587328173e-09
912 1.05403545000671e-13 3.24681976805972e-03 1.75643406095860e-14 8.62328087400369e-10
920 1.06328137500676e-13 3.24700845735621e-03 7.26637263050641e-14 6.18936936132432e-09
928 1.07252730000682e-13 3.24713818458472e-03 -5.34062126146310e-15 -7.45831054338962e-09
