#[0]step() [1]time(s) [2]momentum_x_lev0(kg*m/s) [3]momentum_y_lev0(kg*m/s) [4]momentum_z_lev0(kg*m/s)
2296 2.65358047501680e-13 3.21944867515111e-03 -1.20363179276783e-12 3.61369456968043e-08
2304 2.66282640001686e-13 3.21166619991502e-03 -4.04354256087223e-12 8.66998267206836e-08
2312 2.67207232501691e-13 3.20606103200705e-03 -3.40689958292147e-12 3.02512044937501e-08
2320 2.68131825001697e-13 3.20046472302751e-03 -2.70243048512779e-12 3.17714795806733e-09
2328 2.69056417501703e-13 3.18776688457465e-03 -5.70634244315841e-12 4.58586704654898e-08
2336 2.69981010001708e-13 3.17792893297654e-03 -2.90471072751904e-12 -6.76674175554335e-08
2344 2.70905602501714e-13 3.16959806617516e-03 -1.28936176869521e-12 -1.80923084902596e-07
2352 2.71830195001720e-13 3.15016503325236e-03 -5.27051268573141e-12 -4.08514706327790e-08
2360 2.72754787501725e-13 3.13317816666174e-03 -6.72187527376788e-13 -2.24082963550199e-07
2368 2.73679380001731e-13 3.12142656996350e-03 8.69938803405107e-13 -2.90280853644133e-07
2376 2.74603972501737e-13 3.09405511388463e-03 -3.52674659741051e-12 -2.56609693255151e-08
2384 2.75528565001742e-13 3.06614452452874e-03 1.31888931597306e-12 -2.82706742142716e-07
2392 2.76453157501748e-13 3.04969142781001e-03 1.61079692796211e-12 -3.09558476786618e-07
2400 2.77377750001754e-13 3.01433196923537e-03 -2.55982795914980e-12 1.03213757402801e-07
2408 2.78302342501759e-13 2.97133911451557e-03 9.07738802075880e-13 -3.42573186050125e-07
2416 2.79226935001765e-13 2.94748847492620e-03 -2.00178611436517e-13 -1.95265933704281e-07
2424 2.80151527501771e-13 2.90562953515691e-03 -1.82323322500235e-12 2.91960472618183e-07
2432 2.81076120001776e-13 2.84464678407299e-03 1.93551443134691e-12 -3.18183141253141e-07
2440 2.82000712501782e-13 2.80889583753206e-03 -7.19238359903914e-13 -2.48407735152731e-08
2448 2.82925305001788e-13 2.76297127491893e-03 -2.35239810407712e-12 4.97759033484306e-07
2456 2.83849897501794e-13 2.68408479624464e-03 1.52412510023507e-12 -3.68080320654541e-07
2464 2.84774490001799e-13 2.63075532780827e-03 -1.29263178544726e-12 1.76723738348220e-07
2472 2.85699082501805e-13 2.58263980067429e-03 -2.77755659523100e-12 5.49189610581102e-07
2480 2.86623675001811e-13 2.49018195912917e-03 5.50300704533360e-13 -4.42744996188892e-07
2488 2.87548267501816e-13 2.41451772491605e-03 -2.41269931223018e-12 2.79725577004498e-07
2496 2.88472860001822e-13 2.36387744040316e-03 -4.22433646986400e-12 5.10148299915763e-07
2504 2.89397452501828e-13 2.26583441666299e-03 -2.76189937652307e-12 -5.57626571776159e-07
2512 2.90322045001833e-13 2.16676226346907e-03 -5.62486745835409e-12 3.47717802094859e-07
2520 2.91246637501839e-13 2.11038151995584e-03 -5.77147332046320e-12 3.93388433791461e-07
2528 2.92171230001845e-13 2.01594871575177e-03 -4.62140052102550e-12 -6.40283178606424e-07
2536 2.93095822501850e-13 1.89814302185766e-03 -3.32432853675091e-12 4.07413142189439e-07
2544 2.94020415001856e-13 1.83133417340129e-03 -2.18528644616561e-12 2.41319477601794e-07
2552 2.94945007501862e-13 1.74749021051222e-03 -3.33810970995918e-12 -6.36888665471404e-07
2560 2.95869600001867e-13 1.62120190676007e-03 9.22793508355791e-13 5.24890564038866e-07
2568 2.96794192501873e-13 1.54079140867826e-03 4.10082441047165e-13 1.66364284592743e-07
2576 2.97718785001879e-13 1.46995085407644e-03 4.13348835749523e-13 -5.04775911040803e-07
2584 2.98643377501884e-13 1.34826630618349e-03 4.94670246194362e-12 6.21328213697288e-07
2592 2.99567970001890e-13 1.25525868243232e-03 1.12602018259482e-12 4.57064491355596e-08
2600 3.00492562501896e-13 1.19512820660450e-03 1.91720238375588e-12 -4.10886086092397e-07
2608 3.01417155001901e-13 1.08969709562758e-03 3.95085737323364e-12 6.05771727389023e-07
2616 3.02341747501907e-13 9.90191193607756e-04 -1.24969997225869e-12 -8.97007209183259e-08
2624 3.03266340001913e-13 9.36062482945158e-04 1.03642979801950e-12 -2.85781135130959e-07
2632 3.04190932501918e-13 8.53480907428499e-04 1.88689641602020e-12 5.50835960903387e-07
2640 3.05115525001924e-13 7.56912364763903e-04 -3.38540257052929e-12 -1.68196298317665e-07
2648 3.06040117501930e-13 7.04735575747713e-04 6.08610773888672e-13 -1.53874647876116e-07
2656 3.06964710001936e-13 6.45332321308277e-04 9.63567997779563e-14 4.85636445950864e-07
2664 3.07889302501941e-13 5.61109034463533e-04 -4.43819930800286e-12 -2.18413346886565e-07
2672 3.08813895001947e-13 5.09710539151143e-04 -9.37910112462304e-13 -3.36474717435151e-08
2680 3.09738487501953e-13 4.69055850126156e-04 -3.04877318130250e-12 3.79651176243444e-07
2688 3.10663080001958e-13 4.03389332489921e-04 -4.55009684402555e-12 -2.26268403912556e-07
2696 3.11587672501964e-13 3.54599987971128e-04 -1.42051417529884e-12 5.87302889947868e-08
2704 3.12512265001970e-13 3.26368851075278e-04 -1.60194215649501e-12 2.89434960292215e-07
2712 3.13436857501975e-13 2.80818394549938e-04 -9.25796236710939e-13 -1.88518782212642e-07
2720 3.14361450001981e-13 2.38109557943559e-04 1.26220914692780e-12 1.18570846881188e-07
2728 3.15286042501987e-13 2.16775220525773e-04 8.86903516649513e-13 1.92399627067427e-07
2736 3.16210635001992e-13 1.88703256103420e-04 3.74494717952498e-13 -1.44487874961562e-07
2744 3.17135227501998e-13 1.55171926001833e-04 2.63617796671174e-13 1.33995867509221e-07
2752 3.18059820002004e-13 1.37347670834538e-04 -3.38615614884874e-13 1.10368659569815e-07
2760 3.18984412502009e-13 1.21688826238594e-04 -1.19583736476931e-12 -9.83479328211052e-08
2768 3.19909005002015e-13 9.87639606616117e-05 -1.30496991110134e-12 1.24272573694770e-07
2776 3.20833597502021e-13 8.34173455255080e-05 -2.58873536534801e-12 7.97700597807580e-08
2784 3.21758190002026e-13 7.46418273276813e-05 -2.41621774743036e-12 -3.39073848017998e-08
2792 3.22682782502032e-13 6.15443222488552e-05 -8.09567487999891e-13 8.99246583364816e-08
2800 3.23607375002038e-13 4.93718867378791e-05 -2.52852424487106e-12 5.22005022376648e-08
2808 3.24531967502043e-13 4.31184086196494e-05 -1.26865358362896e-12 7.03371680925476e-09
2816 3.25456560002049e-13 3.69946828031448e-05 1.20036093514593e-12 7.49146861934079e-08
2824 3.26381152502055e-13 2.91409866328299e-05 4.89003161195779e-13 3.31857049148777e-08
2832 3.27305745002061e-13 2.35084325444998e-05 1.14532888663556e-12 1.17806378063928e-08
2840 3.28230337502066e-13 2.01817455250969e-05 8.06719198524501e-13 -2.44837278610131e-08
2848 3.29154930002072e-13 1.63256889672400e-05 1.04495025498691e-12 9.01770404921665e-08
2856 3.30079522502078e-13 1.23268983665052e-05 1.36214662945646e-12 -1.14715170869360e-07
2864 3.31004115002083e-13 1.06390709394680e-05 1.49794239197074e-12 2.50898631141765e-09
2872 3.31928707502089e-13 8.47191474611762e-06 2.44727912176781e-12 5.00277318324803e-08
2880 3.32853300002095e-13 6.24150258293304e-06 2.14633073193080e-12 -7.73973487124617e-08
2888 3.33777892502100e-13 5.33220083741530e-06 1.51237540436978e-12 1.08910992156119e-08
2896 3.34702485002106e-13 4.26376901652990e-06 3.05958301465070e-14 1.83210674528749e-08
2904 3.35627077502112e-13 3.04539663522147e-06 -1.17477267979401e-12 -5.01673665718936e-08
2912 3.36551670002117e-13 2.47308398925753e-06 -1.07339219221066e-12 2.05371955089488e-08
2920 3.37476262502123e-13 2.00905166176251e-06 -1.19126772723921e-12 4.93000083011316e-09
2928 3.38400855002129e-13 1.39447420183775e-06 -1.82010128003547e-12 -1.50309304859511e-08
2936 3.39325447502134e-13 1.04937117970433e-06 -2.11520893289047e-12 3.02243342348097e-08
2944 3.40250040002140e-13 8.56352019111864e-07 -3.25880020557089e-12 1.02486121173621e-08
2952 3.41174632502146e-13 5.81975292613291e-07 -3.79917274149936e-12 1.06890778103809e-08
2960 3.42099225002151e-13 3.87998207834507e-07 -4.51011366455257e-12 3.42033865003325e-08
2968 3.43023817502157e-13 3.02945626038047e-07 -4.23805212319628e-12 1.66089677894407e-08
2976 3.43948410002163e-13 1.93316557266014e-07 -2.49743543374960e-12 2.24707433305674e-08
2984 3.44873002502168e-13 9.58167518610847e-08 -8.82592499062768e-13 2.96392425770540e-08
2992 3.45797595002174e-13 5.53021268521420e-08 -8.71207251710970e-13 1.46786468278130e-08
3000 3.46722187502180e-13 1.44151039355461e-08 -9.44420022694676e-13 2.01257984103802e-08
3008 3.47646780002185e-13 -3.26967954123830e-08 -2.45512310494000e-12 1.42592314806544e-08
3016 3.48571372502191e-13 -5.55608383313409e-08 -2.78545686047780e-12 2.52501040094104e-09
3024 3.49495965002197e-13 -7.26206167489774e-08 -2.68103331690531e-12 6.58031761075579e-09
