 EPOCH2D v4.17.16   v4.17.16-0-g3088d845-clean 1663786590.833          

 Loaded 1069200 particles of species "ele"
 Loaded 1069200 particles of species "ion"
Wrote scalars dump number    0 at time  0.577870312504E-16 and iteration      0
Wrote fields  dump number    0 at time  0.577870312504E-16 and iteration      0
Wrote scalars dump number    1 at time  0.104016656251E-14 and iteration      9
Wrote scalars dump number    2 at time  0.208033312501E-14 and iteration     18
Wrote scalars dump number    3 at time  0.312049968752E-14 and iteration     27
Wrote scalars dump number    4 at time  0.416066625003E-14 and iteration     36
Wrote scalars dump number    5 at time  0.520083281253E-14 and iteration     45
Wrote scalars dump number    6 at time  0.624099937504E-14 and iteration     54
Wrote scalars dump number    7 at time  0.728116593755E-14 and iteration     63
Wrote scalars dump number    8 at time  0.832133250005E-14 and iteration     72
Wrote scalars dump number    9 at time  0.936149906256E-14 and iteration     81
Wrote fields  dump number    1 at time  0.100549434376E-13 and iteration     87
Wrote scalars dump number   10 at time  0.104016656251E-13 and iteration     90
Wrote scalars dump number   11 at time  0.114418321876E-13 and iteration     99
Wrote scalars dump number   12 at time  0.124819987501E-13 and iteration    108
Wrote scalars dump number   13 at time  0.135221653126E-13 and iteration    117
Wrote scalars dump number   14 at time  0.145623318751E-13 and iteration    126
Wrote scalars dump number   15 at time  0.156024984376E-13 and iteration    135
Wrote scalars dump number   16 at time  0.166426650001E-13 and iteration    144
Wrote scalars dump number   17 at time  0.176828315626E-13 and iteration    153
Wrote scalars dump number   18 at time  0.187229981251E-13 and iteration    162
Wrote scalars dump number   19 at time  0.197631646876E-13 and iteration    171
Wrote fields  dump number    2 at time  0.201098868751E-13 and iteration    174
Wrote scalars dump number   20 at time  0.208033312501E-13 and iteration    180
Wrote scalars dump number   21 at time  0.218434978126E-13 and iteration    189
Wrote scalars dump number   22 at time  0.228836643751E-13 and iteration    198
Wrote scalars dump number   23 at time  0.239238309377E-13 and iteration    207
Wrote scalars dump number   24 at time  0.249639975002E-13 and iteration    216
Wrote scalars dump number   25 at time  0.260041640627E-13 and iteration    225
Wrote scalars dump number   26 at time  0.270443306252E-13 and iteration    234
Wrote scalars dump number   27 at time  0.280844971877E-13 and iteration    243
Wrote scalars dump number   28 at time  0.291246637502E-13 and iteration    252
Wrote scalars dump number   29 at time  0.301648303127E-13 and iteration    261
Wrote fields  dump number    3 at time  0.301648303127E-13 and iteration    261
Wrote scalars dump number   30 at time  0.312049968752E-13 and iteration    270
Wrote scalars dump number   31 at time  0.322451634377E-13 and iteration    279
Wrote scalars dump number   32 at time  0.332853300002E-13 and iteration    288
Wrote scalars dump number   33 at time  0.343254965627E-13 and iteration    297
Wrote scalars dump number   34 at time  0.353656631252E-13 and iteration    306
Wrote scalars dump number   35 at time  0.364058296877E-13 and iteration    315
Wrote scalars dump number   36 at time  0.374459962502E-13 and iteration    324
Wrote scalars dump number   37 at time  0.384861628127E-13 and iteration    333
Wrote scalars dump number   38 at time  0.395263293753E-13 and iteration    342
Wrote fields  dump number    4 at time  0.402197737503E-13 and iteration    348
Wrote scalars dump number   39 at time  0.405664959378E-13 and iteration    351
Wrote scalars dump number   40 at time  0.416066625003E-13 and iteration    360
Wrote scalars dump number   41 at time  0.426468290628E-13 and iteration    369
Wrote scalars dump number   42 at time  0.436869956253E-13 and iteration    378
Wrote scalars dump number   43 at time  0.447271621878E-13 and iteration    387
Wrote scalars dump number   44 at time  0.457673287503E-13 and iteration    396
Wrote scalars dump number   45 at time  0.468074953128E-13 and iteration    405
Wrote scalars dump number   46 at time  0.478476618753E-13 and iteration    414
Wrote scalars dump number   47 at time  0.488878284378E-13 and iteration    423
Wrote scalars dump number   48 at time  0.499279950003E-13 and iteration    432
Wrote fields  dump number    5 at time  0.502747171878E-13 and iteration    435
